faculty_id,faculty_name,department_id,department_name,department_type,year,male,female,total_male_number,total_female_number,total_student_number_,professors,assoc_prof,phd,base_point,success_order,preferred,quota,placed_number,tyt_turkce,tyt_matematik,tyt_fen,tyt_sosyal,ayt_matematik,ayt_fizik,ayt_kimya,ayt_biyoloji,ayt_edebiyat,ayt_cografya1,ayt_cografya2,ayt_din,ayt_felsefe,ayt_tarih1,ayt_tarih2,ydt_yabanci_dil,Marmara,Ege,Akdeniz,Karadeniz,Ic_Anadolu,Dogu_Anadolu,Guney_Dogu_Anadolu
1,Elektrik-Elektronik Fakültesi,7,Elektrik Mühendisliği,SAY,2023,108,26,720,137,857,9,16,14,477.74322,34345,1894,134,134,31.8,32.6,16.7,14.3,33.1,12.2,10.7,9.3,,,,,,,,,98,12,9,6,5,3,1
1,Elektrik-Elektronik Fakültesi,7,Elektrik Mühendisliği,SAY,2024,119,20,720,137,857,9,16,14,465.65032,27956,2143,139,139,31.9,34.2,16.7,14.8,27.3,12.2,9.6,10.3,,,,,,,,,87,16,9,12,11,2,2
1,Elektrik-Elektronik Fakültesi,8,Elektronik ve Haberleşme Mühendisliği,SAY,2021,92,21,712,102,814,7,7,9,423.51815,26123,1259,113,113,29.4,21.7,15.6,14.4,26.1,8.6,10.9,11.5,,,,,,,,,62,10,8,14,18,1,0
1,Elektrik-Elektronik Fakültesi,8,Elektronik ve Haberleşme Mühendisliği,SAY,2022,96,17,688,109,797,9,9,5,497.21067,19381,1623,113,113,31.5,36.6,16.2,15.0,37.8,11.2,10.8,10.4,,,,,,,,,57,11,19,13,10,1,2
1,Elektrik-Elektronik Fakültesi,8,Elektronik ve Haberleşme Mühendisliği,SAY,2023,92,21,635,107,742,13,7,8,507.10034,14363,1913,113,113,33.1,35.4,17.7,15.6,36.1,12.9,11.8,10.7,,,,,,,,,66,9,7,10,13,3,5
1,Elektrik-Elektronik Fakültesi,8,Elektronik ve Haberleşme Mühendisliği,SAY,2024,95,23,635,107,742,13,7,8,495.31337,12342,2079,118,118,33.4,36.2,17.9,15.4,32.1,12.7,11.1,11.3,,,,,,,,,57,15,11,14,17,3,1
1,Elektrik-Elektronik Fakültesi,33,Kontrol ve Otomasyon Mühendisliği,SAY,2021,48,24,414,60,474,1,3,6,402.59571,41341,861,72,72,28.9,19.2,14.5,13.9,23.1,7.3,10.3,10.9,,,,,,,,,38,9,6,9,5,2,3
1,Elektrik-Elektronik Fakültesi,33,Kontrol ve Otomasyon Mühendisliği,SAY,2022,62,10,450,79,529,2,2,6,478.91417,32598,1207,72,72,31.1,34.3,15.7,14.3,36.4,10.0,10.1,9.3,,,,,,,,,42,10,6,5,6,2,1
1,Elektrik-Elektronik Fakültesi,33,Kontrol ve Otomasyon Mühendisliği,SAY,2023,54,18,417,88,505,2,5,7,495.74667,21387,1719,72,72,31.6,34.3,17.4,15.2,35.2,12.4,11.0,10.0,,,,,,,,,50,7,5,3,5,1,1
1,Elektrik-Elektronik Fakültesi,33,Kontrol ve Otomasyon Mühendisliği,SAY,2024,59,18,417,88,505,2,5,7,486.52779,16371,1995,77,77,33.0,35.3,17.4,15.2,30.1,12.4,10.4,11.0,,,,,,,,,45,3,9,9,7,1,3
1,Elektrik-Elektronik Fakültesi,34,Kontrol ve Otomasyon Mühendisliği (İngilizce),SAY,2021,35,17,311,61,372,1,3,6,411.82375,34091,957,52,52,29.6,19.6,15.5,14.1,24.4,7.3,10.4,11.8,,,,,,,,,33,6,4,0,7,0,2
1,Elektrik-Elektronik Fakültesi,34,Kontrol ve Otomasyon Mühendisliği (İngilizce),SAY,2022,41,11,361,80,441,2,2,6,488.61562,25266,1249,52,52,32.7,35.7,15.1,15.1,37.3,10.5,10.5,9.5,,,,,,,,,36,7,6,2,1,0,0
1,Elektrik-Elektronik Fakültesi,34,Kontrol ve Otomasyon Mühendisliği (İngilizce),SAY,2023,43,9,360,86,446,2,5,7,501.99406,17417,1669,52,52,33.6,34.9,17.7,14.9,35.6,12.6,11.2,10.2,,,,,,,,,34,8,1,2,5,2,0
1,Elektrik-Elektronik Fakültesi,34,Kontrol ve Otomasyon Mühendisliği (İngilizce),SAY,2024,45,12,360,86,446,2,5,7,491.2467,14089,1912,57,57,33.2,36.7,17.6,15.3,31.7,12.4,10.0,10.7,,,,,,,,,28,4,6,5,7,5,2
2,Eğitim Fakültesi,2,Bilgisayar ve Öğretim Teknolojileri Öğretmenliği,SAY,2021,30,11,178,99,277,1,1,4,276.47105,213618,325,41,41,23.6,11.1,9.1,10.9,11.1,2.8,5.9,6.7,,,,,,,,,27,2,5,1,3,1,2
2,Eğitim Fakültesi,2,Bilgisayar ve Öğretim Teknolojileri Öğretmenliği,SAY,2022,29,12,186,88,274,1,0,3,347.21119,180953,525,41,41,26.7,24.8,9.0,10.2,21.6,4.4,5.2,5.3,,,,,,,,,33,0,3,2,1,1,1
