faculty_id,faculty_name,department_id,department_name,department_type,year,male,female,total_male_number,total_female_number,total_student_number,avg_professors,avg_assoc_prof,avg_phd,avg_base_point,total_leaving,total_incoming,avg_success_order,total_quota,total_preferred
1,Elektrik-Elektronik Fakültesi,33,Kontrol ve Otomasyon Mühendisliği,SAY,2023,54,18,417,88,505,2.0,5.0,7.0,495.0,4,0,21.387,72,1719
1,Elektrik-Elektronik Fakültesi,34,Kontrol ve Otomasyon Mühendisliği (İngilizce),SAY,2021,35,17,311,61,372,1.0,3.0,6.0,411.0,4,0,34.091,52,957
1,Elektrik-Elektronik Fakültesi,34,Kontrol ve Otomasyon Mühendisliği (İngilizce),SAY,2022,41,11,361,80,441,2.0,2.0,6.0,488.0,0,0,25.266,52,1.249
1,Elektrik-Elektronik Fakültesi,34,Kontrol ve Otomasyon Mühendisliği (İngilizce),SAY,2023,43,9,360,86,446,2.0,5.0,7.0,501.0,4,0,17.417,52,1669
2,Eğitim Fakültesi,2,Bilgisayar ve Öğretim Teknolojileri Öğretmenliği,SAY,2021,30,11,178,99,277,1.0,1.0,4.0,276.0,1,2,213.618,41,325
2,Eğitim Fakültesi,2,Bilgisayar ve Öğretim Teknolojileri Öğretmenliği,SAY,2022,29,12,186,88,274,1.0,0.0,3.0,347.0,2,3,180.953,41,525
2,Eğitim Fakültesi,2,Bilgisayar ve Öğretim Teknolojileri Öğretmenliği,SAY,2023,24,17,175,87,262,1.0,2.0,1.0,371.0,3,0,150.613,41,588
2,Eğitim Fakültesi,11,Fen Bilgisi Öğretmenliği,SAY,2021,17,45,50,210,260,5.0,1.0,3.0,300.0,0,0,163.366,62,729
2,Eğitim Fakültesi,11,Fen Bilgisi Öğretmenliği,SAY,2022,13,49,58,215,273,5.0,3.0,1.0,352.0,0,0,171.793,62,616
2,Eğitim Fakültesi,11,Fen Bilgisi Öğretmenliği,SAY,2023,12,50,65,211,276,6.0,2.0,0.0,361.0,3,0,167.688,62,661
2,Eğitim Fakültesi,22,İlköğretim Matematik Öğretmenliği,SAY,2021,14,48,92,225,317,1.0,1.0,3.0,373.0,1,0,67.138,62,1.394
2,Eğitim Fakültesi,22,İlköğretim Matematik Öğretmenliği,SAY,2022,15,47,96,248,344,1.0,3.0,1.0,437.0,0,2,68.151,62,1.097
2,Eğitim Fakültesi,22,İlköğretim Matematik Öğretmenliği,SAY,2023,15,47,86,232,318,1.0,3.0,1.0,428.0,0,1,78.355,62,712
2,Eğitim Fakültesi,23,İngilizce Öğretmenliği,DİL,2021,26,36,112,191,303,0.0,2.0,2.0,423.0,13,0,7.641,62,1.445
2,Eğitim Fakültesi,23,İngilizce Öğretmenliği,DİL,2022,20,42,119,202,321,1.0,1.0,2.0,457.0,2,1,8.075,62,1.822
2,Eğitim Fakültesi,23,İngilizce Öğretmenliği,DİL,2023,18,44,112,197,309,1.0,3.0,3.0,459.0,7,6,8.636,62,1376
2,Eğitim Fakültesi,50,Okul Öncesi Öğretmenliği,SÖZ,2021,4,58,43,258,301,0.0,2.0,1.0,369.0,0,0,12.129,62,1.108
2,Eğitim Fakültesi,50,Okul Öncesi Öğretmenliği,SÖZ,2022,10,52,48,280,328,1.0,1.0,1.0,415.0,0,0,12.247,62,1.526
2,Eğitim Fakültesi,50,Okul Öncesi Öğretmenliği,SÖZ,2023,9,53,45,257,302,1.0,3.0,1.0,416.0,1,0,10.407,62,996
2,Eğitim Fakültesi,51,Rehberlik ve Psikolojik Danışmanlık,EA,2021,20,52,86,269,355,3.0,0.0,1.0,336.0,2,0,69.183,72,1.214
2,Eğitim Fakültesi,51,Rehberlik ve Psikolojik Danışmanlık,EA,2022,15,57,93,282,375,8.0,5.0,7.0,384.0,0,1,87.337,72,1.205
2,Eğitim Fakültesi,51,Rehberlik ve Psikolojik Danışmanlık,EA,2023,15,57,87,298,385,4.0,2.0,2.0,385.0,1,1,70.958,72,1587
2,Eğitim Fakültesi,53,Sınıf Öğretmenliği,EA,2021,13,49,65,210,275,1.0,2.0,2.0,331.0,0,0,77.529,62,1.382
2,Eğitim Fakültesi,53,Sınıf Öğretmenliği,EA,2022,11,51,65,228,293,1.0,0.0,2.0,385.0,0,0,85.197,62,977
2,Eğitim Fakültesi,53,Sınıf Öğretmenliği,EA,2023,18,44,66,221,287,2.0,2.0,2.0,385.0,2,0,70.207,62,1210
2,Eğitim Fakültesi,55,Sosyal Bilgiler Öğretmenliği,SÖZ,2021,18,34,86,163,249,3.0,2.0,1.0,340.0,1,0,35.152,52,770
2,Eğitim Fakültesi,55,Sosyal Bilgiler Öğretmenliği,SÖZ,2022,25,27,95,165,260,3.0,2.0,1.0,384.0,1,0,39.6,52,723
2,Eğitim Fakültesi,55,Sosyal Bilgiler Öğretmenliği,SÖZ,2023,23,29,99,150,249,5.0,2.0,1.0,385.0,1,0,36.252,52,624
2,Eğitim Fakültesi,58,Türkçe Öğretmenliği,SÖZ,2021,27,35,104,168,272,3.0,2.0,3.0,371.0,0,0,11.209,62,1.17
2,Eğitim Fakültesi,58,Türkçe Öğretmenliği,SÖZ,2022,21,41,118,183,301,3.0,5.0,0.0,410.0,5,0,14.581,62,890
2,Eğitim Fakültesi,58,Türkçe Öğretmenliği,SÖZ,2023,25,37,119,184,303,4.0,3.0,4.0,414.0,1,3,11.409,62,873
3,Fen-Edebiyat Fakültesi,12,Fizik,SAY,2021,48,34,306,182,488,17.0,13.0,8.0,271.0,2,0,226.256,82,790
3,Fen-Edebiyat Fakültesi,12,Fizik,SAY,2022,42,40,272,185,457,19.0,10.0,9.0,343.0,1,0,188.673,82,1.373
3,Fen-Edebiyat Fakültesi,12,Fizik,SAY,2023,45,37,278,188,466,25.0,13.0,9.0,375.0,4,1,144.675,84,1325
