year,faculty_name,total_male_number Change (%),total_female_number Change (%),total_student_number_ Change (%),professors Change (%),assoc_prof Change (%),phd Change (%),base_point Change (%),success_order Change (%),preferred Change (%),quota Change (%),placed_number Change (%),tyt_turkce Change (%),tyt_matematik Change (%),tyt_fen Change (%),tyt_sosyal Change (%),ayt_matematik Change (%),ayt_fizik Change (%),ayt_kimya Change (%),ayt_biyoloji Change (%),ayt_edebiyat Change (%),ayt_cografya1 Change (%),ayt_cografya2 Change (%),ayt_din Change (%),ayt_felsefe Change (%),ayt_tarih1 Change (%),ayt_tarih2 Change (%),ydt_yabanci_dil Change (%),Marmara Change (%),Ege Change (%),Akdeniz Change (%),Karadeniz Change (%),Ic_Anadolu Change (%),Dogu_Anadolu Change (%),Guney_Dogu_Anadolu Change (%),tyt_correct_answer Change (%),ayt_correct_answer Change (%),ydt_correct_answer Change (%)
2022,Elektrik-Elektronik Fakültesi,4.100445009535925,30.717863105175304,8.357810413885169,33.33333333333333,12.00000000000001,-7.547169811320753,17.50843749641209,-14.903878385626168,29.52544311034877,0.0,0.0,9.623188405797102,71.28712871287131,2.905027932960902,5.376344086021501,49.03846153846154,32.675438596491226,-1.7628205128205177,-14.157973174366612,,,,,,,,,6.0810810810810745,18.181818181818187,12.962962962962955,-19.23076923076923,-30.000000000000004,-30.76923076923077,-18.75,23.58106660955237,23.604614904895538,
2023,Elektrik-Elektronik Fakültesi,-5.007633587786264,4.342273307790556,-3.2035485460818136,28.57142857142858,46.428571428571416,-6.122448979591832,2.2203489675301835,-18.9618242428122,-2.01288955592831,1.831501831501825,1.831501831501825,2.9085140137493637,-2.6493256262042575,13.35504885993486,1.0204081632652962,-5.207373271889404,22.80991735537188,7.177814029363794,3.819444444444442,,,,,,,,,10.191082802547768,-27.692307692307693,-29.508196721311474,-14.28571428571429,16.666666666666675,44.44444444444444,69.23076923076923,2.2876949740034735,2.2956609485368373,
2024,Elektrik-Elektronik Fakültesi,0.0,0.0,0.0,0.0,0.0,0.0,-2.5773858441413444,-13.100778961951177,11.262275880709982,2.6978417266187105,2.6978417266187105,0.8735868448098705,3.9089559623948666,-2.4904214559387183,2.1324354657688005,-14.00097228974233,-2.153432032301472,-8.980213089802136,7.190635451505001,,,,,,,,,-14.45086705202312,17.021276595744684,39.53488372093024,77.77777777777777,20.408163265306122,30.76923076923077,-9.090909090909093,1.507963402236534,-7.891491985203447,
2022,Eğitim Fakültesi,7.59803921568627,5.465699944227542,6.132617861249523,41.176470588235304,53.846153846153854,-9.999999999999998,14.481731947175103,1.6696475459118787,-1.6357345077068208,0.0,0.0,6.507413509060966,78.4562211981567,10.187110187110182,2.0168067226890907,66.71575846833578,53.27102803738315,-10.593220338983045,-23.076923076923073,1.8454440599769306,3.539823008849541,7.48031496062993,16.23931623931625,-1.3888888888889062,-1.831501831501825,47.023809523809554,2.04638472032741,7.471264367816088,-41.17647058823529,-35.71428571428571,-8.108108108108103,27.586206896551737,-4.0000000000000036,-23.076923076923073,18.361183813166893,16.397296503085524,2.04638472032741
2023,Eğitim Fakültesi,-2.733485193621865,-2.8556319407720743,-2.8169014084507005,4.166666666666674,10.000000000000009,-16.666666666666664,0.9510894999317232,-9.493303230558702,-8.037522652169283,0.0,0.0,3.75096674400619,-1.5493867010974993,7.169811320754715,3.2125205930807255,-7.155477031802127,48.170731707317074,-1.8957345971564066,-3.500000000000003,1.8120045300113352,-20.08547008547008,-19.413919413919402,3.6764705882353033,0.0,14.179104477611947,7.287449392712553,-0.53475935828875,1.8716577540107027,60.00000000000001,-3.703703703703709,0.0,-48.64864864864865,0.0,23.33333333333334,2.5514543289675062,-0.9088613986367067,-0.53475935828875
2024,Eğitim Fakültesi,0.0,0.0,0.0,0.0,0.0,0.0,-1.5551198546743694,0.2676481535089481,-8.8327344383911,-31.65735567970205,-31.65735567970205,0.5963473723443746,1.9672131147541183,-7.218309859154914,-1.5961691939345601,-28.163653663177925,-14.814814814814813,-29.951690821256026,10.36269430051815,0.5561735261401468,7.4866310160427885,14.54545454545455,-9.929078014184423,-1.4084507042253502,25.163398692810436,-4.150943396226426,-0.13440860215055972,-30.44619422572179,-37.5,-23.076923076923073,-26.470588235294112,-47.36842105263158,-41.666666666666664,-37.83783783783784,-0.24879747885220294,-6.98089171974522,-0.13440860215055972
2022,Fen-Edebiyat Fakültesi,7.087959009393674,6.715165081141583,6.8627450980392135,12.99999999999999,-8.92857142857143,-14.54545454545455,21.301364603944627,-18.400730938937514,42.402038865880854,0.0,0.0,9.895833333333325,91.32231404958677,11.962365591397827,7.4034334763948495,83.93617021276596,60.92436974789916,-2.0325203252032464,-21.40151515151515,5.806451612903207,10.000000000000009,16.901408450704245,25.806451612903224,-1.6666666666666607,16.666666666666675,85.29411764705883,6.038291605301915,3.480278422273786,-28.260869565217394,21.052631578947366,-21.42857142857143,-4.0000000000000036,-7.692307692307687,9.090909090909083,26.303616484440706,33.40935005701253,6.038291605301915
2023,Fen-Edebiyat Fakültesi,4.6251993620414655,3.723125327739907,4.080987029421079,23.008849557522115,11.764705882352944,21.27659574468086,4.2649164429443776,-18.857955174302198,-11.67039522744221,2.8006589785831926,0.9884678747940745,3.3175355450236976,3.0237580993520696,15.126050420168081,6.0939060939060985,-7.0561017929439025,61.09660574412532,6.846473029045641,10.602409638554233,-4.8780487804877986,-25.00000000000001,-25.30120481927711,7.692307692307709,13.55932203389829,6.1224489795918435,25.396825396825395,0.9722222222222188,1.1210762331838486,21.212121212121215,-2.1739130434782594,-36.36363636363637,37.5,16.666666666666675,-25.0,5.3271183619111095,5.099715099715119,0.9722222222222188
2024,Fen-Edebiyat Fakültesi,0.0,0.0,0.0,0.0,0.0,0.0,-1.1518065993144422,-19.31538176748702,-14.174757281553397,-17.467948717948723,-15.986949429037523,2.5020850708924014,5.398322851153026,-3.3368091762252416,2.4482109227871973,-19.850653391412553,-4.538087520259326,-11.650485436893199,18.082788671023952,21.153846153846146,24.242424242424242,29.032258064516125,-2.3809523809523947,2.9850746268656803,46.153846153846146,-2.5316455696202556,1.6506189821182904,-15.521064301552101,-15.000000000000002,-44.44444444444444,42.85714285714286,-9.090909090909093,-85.71428571428572,44.44444444444444,2.481428797218266,-6.560043372187597,1.6506189821182904
2022,Gemi İnşaatı ve Denizcilik Fakültesi,4.591836734693877,43.66197183098593,7.231208372978126,7.14285714285714,28.57142857142858,-22.22222222222222,20.524442005535846,-14.695812841344457,36.75458715596329,0.0,0.0,8.239700374531832,79.88165680473374,4.832713754646867,4.330708661417337,67.35218508997424,42.148760330578504,-6.185567010309279,-20.197044334975377,,,,,,,,,-6.578947368421051,7.692307692307687,-8.571428571428575,87.5,8.333333333333325,-33.333333333333336,25.0,24.229390681003583,28.665931642778396,
