year,total_male_number Change (%),total_female_number Change (%),total_student_number_ Change (%),professors Change (%),assoc_prof Change (%),phd Change (%),base_point Change (%),success_order Change (%),preferred Change (%),quota Change (%),placed_number Change (%),tyt_turkce Change (%),tyt_matematik Change (%),tyt_fen Change (%),tyt_sosyal Change (%),ayt_matematik Change (%),ayt_fizik Change (%),ayt_kimya Change (%),ayt_biyoloji Change (%),ayt_edebiyat Change (%),ayt_cografya1 Change (%),ayt_cografya2 Change (%),ayt_din Change (%),ayt_felsefe Change (%),ayt_tarih1 Change (%),ayt_tarih2 Change (%),ydt_yabanci_dil Change (%),Marmara Change (%),Ege Change (%),Akdeniz Change (%),Karadeniz Change (%),Ic_Anadolu Change (%),Dogu_Anadolu Change (%),Guney_Dogu_Anadolu Change (%),tyt_correct_answer Change (%),ayt_correct_answer Change (%),ydt_correct_answer Change (%)
2022,4.311251314405884,13.44661624594834,8.11584717336169,10.023866348448696,6.624605678233442,-11.85682326621924,23.214843039018707,-9.366777349629373,26.922496984318457,0.0,0.04840271055179812,12.615842521815601,87.12655468649828,11.927112092766446,7.94037551956428,71.39895109159653,52.10871602624181,-0.11254924029261426,-14.300763760863845,0.6654835847382357,8.292682926829254,9.856630824372758,22.764227642276413,1.8789144050104234,9.360374414976613,58.99053627760254,3.966005665722383,4.891518737672573,-6.3063063063063085,0.0,-8.787878787878789,-10.526315789473683,-19.70802919708029,-12.592592592592588,28.183584819387274,30.060542247959976,3.966005665722383
2023,-3.205645161290327,1.1082251082251027,-1.3204691638289856,31.670281995661597,15.088757396449704,4.060913705583746,-0.10560087155159215,-8.825095389927961,-1.4754974754974781,3.6768263183357464,3.241412675374944,0.5244494523521492,-3.5541294721968986,8.19000958326952,0.3978955947600449,-7.536248242490862,29.271039156946486,1.58329286061194,-1.7273170421550077,5.998389082232758,-25.049187118152638,-24.081678573437582,-0.25119890385932875,-0.876201243640462,13.768508042697603,11.302681992337149,-3.250963074321145,7.408800300864993,6.08974358974359,-17.41573033707865,-6.976744186046513,-3.676470588235292,-1.8181818181818188,13.559322033898313,0.2154115344343399,-0.46828437633034126,-3.250963074321145
2024,0.0,0.0,0.0,0.0,0.0,0.0,-1.8827482776447413,-12.55060174978352,0.49075759950802933,-9.589360709286044,-9.231490159325206,1.725033173714885,2.9222115516531977,-4.1385383034928,2.707189375558672,-18.880962995987506,-4.302807179015189,-11.164658634538139,13.97946859903383,6.6238458450421644,16.05415860735011,19.709543568464728,-6.730769230769229,-3.1936127744511045,32.56658595641648,-3.2702237521514577,0.7477906186267536,-11.939775910364148,-4.8338368580060465,-0.3401360544217691,11.428571428571432,-2.2900763358778664,-14.814814814814813,-33.582089552238806,1.4069078099493204,-6.956578645986722,0.7477906186267536
