year,faculty_name,department_name,Adana,Adıyaman,Afyonkarahisar,Ağrı,Amasya,Ankara,Antalya,Artvin,Aydın,Balıkesir,Bilecik,Bingöl,Bitlis,Bolu,Burdur,Bursa,Çanakkale,Çankırı,Çorum,Denizli,Diyarbakır,Edirne,Elazığ,Erzincan,Erzurum,Eskişehir,Gaziantep,Giresun,Gümüşhane,Hakkari,Hatay,Isparta,Mersin,Istanbul,Izmir,Kars,Kastamonu,Kayseri,Kırklareli,Kırşehir,Kocaeli,Konya,Kütahya,Malatya,Manisa,Kahramanmaraş,Mardin,Muğla,Muş,Nevşehir,Niğde,Ordu,Rize,Sakarya,Samsun,Siirt,Sinop,Sivas,Tekirdağ,Tokat,Trabzon,Tunceli,Şanlıurfa,Uşak,Van,Yozgat,Zonguldak,Aksaray,Bayburt,Karaman,Kırıkkale,Batman,Sırnak,Bartın,Ardahan,Iğdır,Yalova,Karabük,Kilis,Osmaniye,Düzce
2023,Gemi İnşaatı ve Denizcilik Fakültesi,Gemi İnşaatı ve Gemi Makineleri Mühendisliği,2,0,0,0,0,1,1,0,2,5,0,0,0,0,0,7,0,0,0,2,0,1,0,0,0,0,2,0,0,0,0,1,0,31,4,0,0,0,0,0,6,1,0,1,1,1,2,1,0,1,1,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,2,0,0,0,0
2024,Gemi İnşaatı ve Denizcilik Fakültesi,Gemi İnşaatı ve Gemi Makineleri Mühendisliği,2,0,0,0,0,1,3,2,2,1,1,0,0,1,1,5,2,0,0,4,0,1,0,1,0,0,0,1,0,0,1,0,2,32,4,0,0,1,0,0,1,2,0,1,2,0,0,0,1,0,0,0,1,2,1,0,2,0,2,0,1,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
2021,Kimya-Metalurji Fakültesi,Gıda Mühendisliği,0,0,0,1,0,1,2,0,1,1,0,0,0,0,0,3,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,41,4,0,0,0,1,0,2,1,1,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,4,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022,Kimya-Metalurji Fakültesi,Gıda Mühendisliği,2,0,0,0,0,3,1,1,0,2,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,1,46,0,0,0,0,0,0,3,2,0,0,0,0,1,0,0,1,0,0,0,1,2,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023,Kimya-Metalurji Fakültesi,Gıda Mühendisliği,1,0,0,0,0,0,1,0,0,0,1,1,0,1,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,52,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024,Kimya-Metalurji Fakültesi,Gıda Mühendisliği,2,0,0,0,0,0,2,1,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,24,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2021,İnşaat Fakültesi,Harita Mühendisliği,1,0,0,0,0,1,2,1,0,3,1,0,0,0,0,3,1,0,0,0,0,1,0,0,1,1,2,0,0,0,1,1,3,45,2,0,0,0,0,0,4,2,1,3,0,1,1,5,0,0,0,0,1,1,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2022,İnşaat Fakültesi,Harita Mühendisliği,1,0,0,0,0,1,1,0,1,4,0,0,1,0,2,5,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,52,4,0,0,1,1,0,1,0,0,0,0,0,0,2,1,0,0,3,0,0,1,0,0,0,0,0,1,1,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,1
2023,İnşaat Fakültesi,Harita Mühendisliği,0,0,1,0,0,1,1,0,0,2,0,0,1,0,0,6,2,0,0,0,1,1,0,1,0,0,0,1,0,0,1,0,0,56,1,0,0,0,1,0,1,0,0,0,2,0,0,2,0,0,0,1,1,2,1,0,0,0,1,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0
2024,İnşaat Fakültesi,Harita Mühendisliği,1,0,0,0,0,2,2,0,0,1,0,0,2,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,62,1,0,0,0,1,0,2,0,0,1,1,1,0,2,0,0,0,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,1,1,0,0,0
2021,Fen-Edebiyat Fakültesi,Kimya,1,0,0,0,0,2,1,0,2,2,1,0,0,0,0,6,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,72,1,0,0,0,2,0,2,0,0,0,1,0,0,1,0,0,0,0,0,2,0,0,0,0,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022,Fen-Edebiyat Fakültesi,Kimya,1,0,0,0,1,0,1,0,1,0,1,0,0,0,0,8,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,72,0,0,2,0,0,0,4,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,3,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2
2023,Fen-Edebiyat Fakültesi,Kimya,1,0,0,0,0,0,2,0,1,0,0,0,0,0,0,2,0,1,0,2,1,0,0,0,0,0,0,0,0,0,1,0,1,75,1,0,0,0,0,0,3,3,1,1,0,1,0,0,0,0,0,1,0,3,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024,Fen-Edebiyat Fakültesi,Kimya,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,42,2,0,0,1,0,0,3,1,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,3,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0
