year,faculty_name,department_name,Adana,Adıyaman,Afyonkarahisar,Ağrı,Amasya,Ankara,Antalya,Artvin,Aydın,Balıkesir,Bilecik,Bingöl,Bitlis,Bolu,Burdur,Bursa,Çanakkale,Çankırı,Çorum,Denizli,Diyarbakır,Edirne,Elazığ,Erzincan,Erzurum,Eskişehir,Gaziantep,Giresun,Gümüşhane,Hakkari,Hatay,Isparta,Mersin,Istanbul,Izmir,Kars,Kastamonu,Kayseri,Kırklareli,Kırşehir,Kocaeli,Konya,Kütahya,Malatya,Manisa,Kahramanmaraş,Mardin,Muğla,Muş,Nevşehir,Niğde,Ordu,Rize,Sakarya,Samsun,Siirt,Sinop,Sivas,Tekirdağ,Tokat,Trabzon,Tunceli,Şanlıurfa,Uşak,Van,Yozgat,Zonguldak,Aksaray,Bayburt,Karaman,Kırıkkale,Batman,Sırnak,Bartın,Ardahan,Iğdır,Yalova,Karabük,Kilis,Osmaniye,Düzce
2023,Mimarlık Fakültesi,Kültür Varlıklarını Koruma ve Onarım,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,4,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,23,1,0,0,1,0,0,0,0,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
2024,Mimarlık Fakültesi,Kültür Varlıklarını Koruma ve Onarım,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,2,0,0,0,0,0,2,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1
2021,Makine Fakültesi,Makine Mühendisliği,5,0,1,0,0,5,12,0,3,4,0,0,0,1,0,20,2,0,2,6,0,3,1,1,2,1,1,1,1,0,5,2,6,65,4,0,2,3,1,0,9,12,2,2,2,2,2,0,1,0,0,0,1,3,2,0,0,0,4,0,2,0,2,0,1,0,0,1,1,0,0,1,0,0,0,0,1,1,0,1,3
2022,Makine Fakültesi,Makine Mühendisliği,2,1,1,0,0,4,8,0,3,2,1,0,0,1,0,20,0,0,1,2,1,2,0,0,1,2,2,2,0,0,3,0,2,68,12,0,3,4,2,0,10,6,2,2,1,2,0,4,1,0,0,2,1,8,3,0,0,1,5,1,1,0,0,0,2,0,6,1,0,2,0,0,1,0,0,0,0,1,0,2,1
2023,Makine Fakültesi,Makine Mühendisliği,2,0,0,1,2,6,5,0,3,2,0,0,0,1,0,27,1,1,0,0,2,0,0,0,0,0,3,0,0,0,0,1,7,87,7,0,0,5,1,0,13,2,1,1,3,0,0,2,0,0,0,1,4,6,1,1,1,0,3,1,1,0,0,1,1,0,0,1,0,0,0,0,1,1,0,0,1,1,1,1,2
2024,Makine Fakültesi,Makine Mühendisliği,4,1,1,0,1,10,10,1,2,6,2,0,1,2,0,16,1,0,1,2,0,0,2,0,2,5,0,0,0,0,4,3,4,73,8,0,0,2,2,0,7,5,1,1,4,1,0,4,0,1,0,1,0,7,3,0,0,1,1,3,4,0,1,1,0,0,3,0,0,0,1,0,0,0,0,0,1,0,0,1,3
2021,Fen-Edebiyat Fakültesi,Matematik,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0,2,0,0,0,1,0,0,0,0,0,1,3,0,0,0,1,0,0,46,5,0,0,0,0,0,3,1,0,1,1,0,1,0,0,0,0,1,1,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,2,2
2022,Fen-Edebiyat Fakültesi,Matematik,2,0,0,0,1,2,4,0,1,2,0,0,0,0,0,3,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,2,1,45,0,0,0,1,1,1,3,0,0,0,1,0,1,1,0,0,0,1,1,1,0,0,0,0,1,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023,Fen-Edebiyat Fakültesi,Matematik,0,1,0,1,1,1,3,0,0,2,1,0,0,0,0,3,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,4,45,3,0,0,1,0,0,4,3,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2024,Fen-Edebiyat Fakültesi,Matematik,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,1,63,3,0,0,1,0,0,3,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021,Kimya-Metalurji Fakültesi,Matematik Mühendisliği,1,0,0,0,0,0,2,0,1,1,1,0,0,0,0,3,0,0,0,0,1,0,0,0,0,1,0,0,1,1,2,0,2,49,3,0,2,1,4,0,9,3,0,2,0,1,0,0,0,0,0,0,0,3,3,0,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,1,0,0,0
2022,Kimya-Metalurji Fakültesi,Matematik Mühendisliği,2,0,0,0,1,0,0,0,0,2,1,0,0,0,1,3,0,0,0,2,0,0,1,0,0,0,0,0,0,0,1,0,5,57,4,0,0,1,5,0,4,4,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,3,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2023,Kimya-Metalurji Fakültesi,Matematik Mühendisliği,2,0,0,0,0,2,4,0,3,4,1,0,0,0,0,8,1,0,0,1,1,2,0,1,0,0,0,0,0,0,0,0,3,42,3,0,0,0,0,0,5,0,1,0,1,0,0,4,0,0,0,0,3,3,1,0,0,0,2,0,0,0,1,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0
2024,Kimya-Metalurji Fakültesi,Matematik Mühendisliği,0,0,0,0,2,4,2,0,0,3,0,0,0,0,0,4,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,4,47,1,0,0,1,1,0,9,1,0,1,1,1,0,0,0,0,0,1,0,1,3,0,0,1,5,0,1,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,2,0,0,3,1
2021,Kimya-Metalurji Fakültesi,Matematik Mühendisliği (İngilizce),2,0,0,0,1,0,1,0,2,2,2,0,0,2,0,6,1,0,0,2,1,0,0,0,2,1,0,0,0,0,3,1,2,28,2,0,0,0,0,0,2,1,0,1,1,0,0,0,0,0,0,1,0,0,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2022,Kimya-Metalurji Fakültesi,Matematik Mühendisliği (İngilizce),0,0,0,0,0,1,2,0,1,2,1,0,0,0,0,6,3,0,0,1,1,0,1,0,0,0,1,0,0,0,2,0,2,27,5,0,0,0,1,0,5,0,0,0,2,0,0,1,0,0,0,1,2,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
2023,Kimya-Metalurji Fakültesi,Matematik Mühendisliği (İngilizce),1,1,0,0,0,1,5,0,0,2,0,0,0,0,0,3,0,0,0,1,1,0,0,0,0,0,0,0,0,0,2,0,0,32,1,0,0,2,0,0,4,1,1,1,1,2,0,0,0,0,0,1,0,1,1,0,0,0,2,0,1,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0
2024,Kimya-Metalurji Fakültesi,Matematik Mühendisliği (İngilizce),0,0,0,0,0,0,2,0,0,2,1,0,1,0,0,2,0,0,1,4,0,0,0,1,0,1,1,0,0,0,1,0,1,15,1,0,1,3,2,0,7,2,0,2,2,0,1,1,0,0,1,2,2,4,0,0,0,0,4,0,2,0,0,0,2,0,2,0,0,1,1,0,0,0,0,0,0,1,0,0,0
2021,Makine Fakültesi,Mekatronik Mühendisliği,1,0,1,0,0,2,1,0,1,1,0,0,0,0,0,5,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,2,25,2,0,0,0,1,0,1,2,0,1,1,0,0,1,0,0,0,0,0,2,1,0,0,0,2,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,2
2022,Makine Fakültesi,Mekatronik Mühendisliği,3,0,0,0,0,0,0,0,1,0,0,0,0,3,0,7,0,0,0,3,0,0,0,1,0,1,0,0,0,0,0,0,2,23,0,0,0,0,0,0,3,2,0,0,1,0,0,2,0,0,0,0,1,1,0,0,0,1,2,0,2,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
2023,Makine Fakültesi,Mekatronik Mühendisliği,2,0,0,0,0,1,3,0,0,5,0,0,0,0,0,5,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,24,2,0,0,1,1,0,3,0,0,0,2,0,1,0,0,0,0,1,0,0,0,0,0,0,1,1,2,0,0,0,0,1,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0
2024,Makine Fakültesi,Mekatronik Mühendisliği,2,0,0,0,0,1,1,0,0,1,0,0,0,0,0,4,1,0,1,1,0,1,0,0,0,0,0,1,0,0,1,0,1,36,1,0,0,0,0,0,5,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0
2021,Makine Fakültesi,Mekatronik Mühendisliği (İngilizce),2,0,0,0,0,2,4,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,2,0,16,5,0,1,1,0,0,1,0,0,2,1,2,0,0,0,0,0,2,0,1,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022,Makine Fakültesi,Mekatronik Mühendisliği (İngilizce),2,0,0,0,0,1,4,0,1,1,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,21,2,0,0,0,1,0,0,2,0,0,1,0,0,1,0,0,0,0,0,3,1,0,0,1,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023,Makine Fakültesi,Mekatronik Mühendisliği (İngilizce),1,0,0,0,0,1,6,0,0,2,0,0,0,0,0,3,1,0,0,1,1,0,1,0,0,1,0,0,0,0,0,0,1,16,0,0,2,2,1,0,0,1,1,0,0,0,0,1,0,0,0,0,2,0,1,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2
2024,Makine Fakültesi,Mekatronik Mühendisliği (İngilizce),1,1,0,0,0,0,2,0,0,2,0,1,0,0,0,8,3,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,24,1,0,0,0,0,0,3,0,0,1,1,0,0,0,0,0,0,1,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
2021,Kimya-Metalurji Fakültesi,Metalurji ve Malzeme Mühendisliği,2,0,0,0,0,3,1,0,1,2,0,0,0,1,1,10,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,38,2,0,0,1,0,0,5,3,1,2,1,1,0,0,0,1,0,1,0,4,2,0,0,0,0,1,0,0,1,0,0,0,6,1,0,0,0,0,0,0,0,1,3,0,0,0,2
2022,Kimya-Metalurji Fakültesi,Metalurji ve Malzeme Mühendisliği,2,0,0,0,0,1,1,0,1,2,1,0,0,1,0,5,1,0,1,0,0,1,0,0,0,0,2,0,0,0,1,1,1,43,3,0,1,2,1,0,5,2,0,1,3,0,1,1,0,0,1,1,1,2,1,0,0,1,5,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,1,1
2023,Kimya-Metalurji Fakültesi,Metalurji ve Malzeme Mühendisliği,0,0,1,0,0,3,0,0,1,1,0,0,0,0,1,7,1,0,0,1,1,0,0,0,0,2,1,0,0,0,5,0,0,39,7,1,1,1,1,0,8,2,0,1,1,1,0,2,1,1,1,0,1,1,1,0,0,0,2,1,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024,Kimya-Metalurji Fakültesi,Metalurji ve Malzeme Mühendisliği,1,0,0,0,0,2,2,0,4,1,0,0,0,0,0,9,2,0,0,1,0,0,0,0,0,0,1,1,0,0,1,0,3,55,5,0,1,1,0,0,4,1,0,0,2,0,0,0,0,0,0,1,0,0,2,0,0,0,1,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,1,0,0,2
2021,Kimya-Metalurji Fakültesi,Metalurji ve Malzeme Mühendisliği (İngilizce),0,1,0,0,2,1,1,0,1,0,1,0,0,0,1,7,1,0,0,1,0,1,0,0,0,1,2,1,0,0,1,0,0,18,1,0,0,2,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2022,Kimya-Metalurji Fakültesi,Metalurji ve Malzeme Mühendisliği (İngilizce),3,0,0,0,0,0,2,0,0,0,2,0,0,0,0,6,0,0,0,2,0,0,0,0,0,3,0,0,0,0,0,0,1,19,2,0,0,1,0,0,2,0,1,0,0,1,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0
2023,Kimya-Metalurji Fakültesi,Metalurji ve Malzeme Mühendisliği (İngilizce),0,0,0,0,1,1,2,0,0,1,1,0,0,1,0,6,2,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,22,2,0,0,0,0,0,4,2,0,0,2,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024,Kimya-Metalurji Fakültesi,Metalurji ve Malzeme Mühendisliği (İngilizce),0,0,0,0,0,5,2,0,3,1,0,1,0,0,0,4,1,0,0,0,0,1,1,0,0,2,1,1,0,0,0,0,0,20,0,0,0,0,0,0,2,1,0,0,1,0,0,2,0,0,0,1,1,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0
2021,Mimarlık Fakültesi,Mimarlık,2,1,1,0,0,2,6,0,2,3,0,0,1,2,1,7,2,1,2,3,2,2,1,1,1,1,3,1,1,0,1,1,2,31,5,0,1,2,0,0,2,3,0,0,1,0,1,2,0,0,1,1,3,2,0,1,0,1,2,6,4,0,1,0,3,1,3,0,0,1,1,0,0,0,0,0,0,2,0,0,0
2022,Mimarlık Fakültesi,Mimarlık,2,1,1,0,0,4,5,1,2,0,0,0,0,0,1,12,0,0,0,4,1,0,1,0,1,0,4,0,0,0,0,2,1,44,7,1,0,1,0,0,3,5,0,2,2,5,0,4,1,0,0,0,1,1,1,0,1,0,1,1,1,0,1,1,2,0,2,0,0,0,0,0,0,0,0,0,1,0,1,1,0
2023,Mimarlık Fakültesi,Mimarlık,1,0,1,0,0,4,6,1,0,2,0,1,2,1,0,12,1,0,1,2,0,1,0,0,1,1,3,3,0,0,2,0,3,34,6,0,1,1,0,0,7,2,2,1,2,1,0,7,0,1,0,0,2,2,2,0,0,0,4,2,1,0,0,1,0,1,0,1,0,0,0,0,1,0,0,0,3,0,0,0,0
2024,Mimarlık Fakültesi,Mimarlık,1,0,1,0,0,2,9,0,1,2,0,0,0,0,1,8,3,0,0,2,1,1,0,0,0,0,1,0,0,0,0,1,1,28,0,0,1,0,2,0,6,3,2,1,2,1,0,1,1,0,0,0,0,3,1,0,0,0,3,0,6,0,0,1,0,0,1,1,0,0,0,0,0,1,1,0,1,0,0,0,1
2021,Mimarlık Fakültesi,Mimarlık (İngilizce),0,0,0,0,0,5,0,0,3,0,0,0,0,1,0,3,3,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0,1,23,2,0,0,3,0,0,2,4,0,0,0,0,1,3,0,0,1,1,1,2,1,0,0,1,3,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0
2022,Mimarlık Fakültesi,Mimarlık (İngilizce),0,0,0,0,0,3,3,2,2,0,0,0,0,0,0,5,1,0,0,2,0,0,0,0,1,1,1,0,0,0,1,0,1,17,3,0,0,1,0,0,5,2,0,2,0,1,0,4,0,0,0,0,0,1,1,0,0,0,2,1,1,0,0,2,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,2
2023,Mimarlık Fakültesi,Mimarlık (İngilizce),1,0,0,0,0,4,4,0,2,1,0,0,0,1,0,4,1,0,0,1,1,0,0,1,0,1,3,0,0,0,1,2,2,18,3,0,0,1,0,0,1,1,1,0,1,0,0,3,0,2,0,0,0,2,1,0,0,0,0,1,1,0,0,0,0,0,2,2,0,0,0,0,0,1,0,0,1,0,0,0,0
2024,Mimarlık Fakültesi,Mimarlık (İngilizce),1,0,1,0,0,1,4,0,0,0,0,0,1,0,0,8,1,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,1,24,5,0,3,0,0,0,3,1,0,0,0,1,0,2,0,0,0,1,0,0,3,0,0,0,2,0,0,0,0,1,1,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0
2021,Fen-Edebiyat Fakültesi,Moleküler Biyoloji ve Genetik,3,0,0,0,0,3,1,0,1,1,0,0,1,0,1,4,1,1,0,1,0,0,0,0,1,1,3,0,0,0,4,0,2,24,5,0,1,0,0,0,1,1,0,2,0,0,0,2,0,0,0,0,3,0,4,0,0,1,1,1,1,0,0,0,1,1,2,0,0,1,0,0,0,0,0,0,1,0,0,0,0
2022,Fen-Edebiyat Fakültesi,Moleküler Biyoloji ve Genetik,2,0,0,1,0,1,3,0,2,4,0,0,0,0,1,3,1,0,0,0,1,0,0,0,0,2,1,1,0,0,2,1,3,24,7,0,0,1,1,0,3,0,0,1,1,2,0,1,0,0,1,1,2,2,2,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
2023,Fen-Edebiyat Fakültesi,Moleküler Biyoloji ve Genetik,2,0,0,0,0,2,2,0,1,1,0,0,0,0,0,4,1,0,0,2,1,0,0,0,2,0,2,0,0,0,0,0,2,33,6,0,0,2,1,0,3,1,0,1,0,1,0,0,0,0,0,1,1,3,3,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
2024,Fen-Edebiyat Fakültesi,Moleküler Biyoloji ve Genetik,1,0,0,0,0,3,2,0,1,2,0,0,0,1,0,3,1,0,1,0,1,1,0,0,0,0,2,1,0,0,0,0,2,23,3,0,0,1,0,0,4,2,1,0,0,0,0,1,0,1,0,1,2,3,1,0,1,0,1,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0
2021,Eğitim Fakültesi,Okul Öncesi Öğretmenliği,0,1,0,0,0,1,1,0,1,0,0,0,1,0,0,2,0,0,0,0,0,0,0,1,0,0,3,0,0,0,0,0,1,30,1,0,0,1,0,0,6,0,0,1,0,1,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,1,1,0,0,0,0,0,1
2022,Eğitim Fakültesi,Okul Öncesi Öğretmenliği,0,1,0,1,0,2,0,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,1,2,0,0,0,0,0,33,0,0,0,0,0,0,2,0,0,0,2,1,1,0,0,0,0,1,0,1,1,2,0,0,2,1,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023,Eğitim Fakültesi,Okul Öncesi Öğretmenliği,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,1,0,0,37,1,0,0,0,0,0,2,0,0,1,1,0,2,0,0,0,0,0,0,1,0,3,0,0,2,0,1,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
2024,Eğitim Fakültesi,Okul Öncesi Öğretmenliği,0,2,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,28,0,0,0,1,1,0,2,1,0,1,0,0,1,0,1,0,0,1,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0
2021,Eğitim Fakültesi,Rehberlik ve Psikolojik Danışmanlık,0,1,0,0,1,2,1,0,1,3,0,0,0,0,0,2,0,0,0,0,1,0,1,0,0,0,0,1,0,0,2,1,1,31,1,0,1,0,2,0,1,1,0,1,0,1,2,1,0,0,0,3,0,1,2,0,0,1,0,1,0,0,0,0,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
2022,Eğitim Fakültesi,Rehberlik ve Psikolojik Danışmanlık,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,42,1,0,1,2,1,0,1,3,0,0,0,1,0,0,0,0,0,1,0,0,2,0,0,0,0,1,1,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0
2023,Eğitim Fakültesi,Rehberlik ve Psikolojik Danışmanlık,1,1,0,0,0,2,1,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,48,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,1,2,0,0,0,2,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
2024,Eğitim Fakültesi,Rehberlik ve Psikolojik Danışmanlık,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,28,1,0,0,1,0,0,2,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2021,Sanat ve Tasarım Fakültesi,Sanat ve Kültür Yönetimi,0,1,0,0,0,2,2,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,43,0,0,1,0,0,0,3,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0
2022,Sanat ve Tasarım Fakültesi,Sanat ve Kültür Yönetimi,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,1,1,1,1,0,1,0,0,44,1,0,0,1,0,0,1,2,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023,Sanat ve Tasarım Fakültesi,Sanat ve Kültür Yönetimi,0,1,0,0,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,53,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2024,Sanat ve Tasarım Fakültesi,Sanat ve Kültür Yönetimi,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,54,0,0,0,0,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021,İktisadi ve İdari Bilimler Fakültesi,Siyaset Bilimi ve Uluslararası İlişkiler,1,1,0,0,1,4,1,0,0,1,0,0,0,0,0,4,0,0,1,2,0,2,0,0,1,1,0,0,0,0,0,0,5,33,2,0,0,2,0,0,4,0,0,0,1,1,0,3,0,0,0,0,0,2,2,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,1,0,0
2022,İktisadi ve İdari Bilimler Fakültesi,Siyaset Bilimi ve Uluslararası İlişkiler,1,1,0,0,1,2,0,0,0,0,0,1,0,0,0,3,0,0,1,0,1,1,0,0,0,0,1,2,0,0,1,0,0,51,4,0,0,1,0,0,1,2,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
2023,İktisadi ve İdari Bilimler Fakültesi,Siyaset Bilimi ve Uluslararası İlişkiler,1,1,0,0,0,2,2,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,48,1,0,0,3,0,0,3,2,1,0,1,0,1,1,0,0,0,0,1,2,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,2,0,0,1
2024,İktisadi ve İdari Bilimler Fakültesi,Siyaset Bilimi ve Uluslararası İlişkiler,1,0,0,0,0,1,0,0,0,2,0,0,0,0,0,3,0,0,1,2,0,1,0,0,0,0,0,1,0,0,0,0,1,56,2,0,0,0,1,0,3,1,1,0,0,2,0,2,0,0,0,0,0,2,1,0,0,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021,Eğitim Fakültesi,Sosyal Bilgiler Öğretmenliği,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,38,0,1,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2022,Eğitim Fakültesi,Sosyal Bilgiler Öğretmenliği,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,35,0,0,2,1,0,0,2,0,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,2,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2023,Eğitim Fakültesi,Sosyal Bilgiler Öğretmenliği,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,40,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024,Eğitim Fakültesi,Sosyal Bilgiler Öğretmenliği,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,40,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2021,Eğitim Fakültesi,Sınıf Öğretmenliği,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,1,0,3,0,0,0,2,0,1,29,0,0,0,0,0,0,0,0,0,1,1,0,4,1,0,0,0,0,1,1,0,0,0,0,3,1,0,0,1,0,1,0,0,0,0,1,0,2,1,0,0,0,0,0,0,1,0
2022,Eğitim Fakültesi,Sınıf Öğretmenliği,0,0,0,1,0,1,0,0,0,2,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,2,0,0,0,1,0,0,31,0,0,0,1,0,0,1,1,0,1,0,0,2,0,1,1,0,0,0,0,1,1,1,0,1,0,1,0,2,0,2,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,1
