year,department_name,success_order,base_point,tyt_correct_answer,ayt_correct_answer,ydt_correct_answer,Base Point Change,Success Order Change,TYT Correct Answer Change,AYT Correct Answer Change,YDT Correct Answer Change,Base Point Change (%),Success Order Change (%),TYT Correct Answer Change (%),AYT Correct Answer Change (%),YDT Correct Answer Change (%),tyt_turkce Change,tyt_turkce Change (%),tyt_matematik Change,tyt_matematik Change (%),tyt_fen Change,tyt_fen Change (%),tyt_sosyal Change,tyt_sosyal Change (%),ayt_matematik Change,ayt_matematik Change (%),ayt_fizik Change,ayt_fizik Change (%),ayt_kimya Change,ayt_kimya Change (%),ayt_biyoloji Change,ayt_biyoloji Change (%),ayt_edebiyat Change,ayt_edebiyat Change (%),ayt_cografya1 Change,ayt_cografya1 Change (%),ayt_cografya2 Change,ayt_cografya2 Change (%),ayt_din Change,ayt_din Change (%),ayt_felsefe Change,ayt_felsefe Change (%),ayt_tarih1 Change,ayt_tarih1 Change (%),ayt_tarih2 Change,ayt_tarih2 Change (%)
2024,Mekatronik Mühendisliği (İngilizce) (KKTC Uyruklu),168331,338.66036,54.7,33.0,0.0,-15922.0,-13.575839999999971,-3.799999999999997,-7.600000000000001,0.0,-3.8541864805491266,-8.641378973476687,-6.495726495726495,-18.7192118226601,0.0,1.7000000000000028,5.882352941176472,1.3000000000000007,6.190476190476191,0.5999999999999996,11.111111111111093,0.9000000000000004,6.7164179104477695,0.6000000000000014,3.0456852791878264,0.0,0.0,0.0,0.0,0.0,0.0,1.5,9.375,-1.6,-34.04255319148937,0.0,0.0,0.0,0.0,0.0,0.0,0.20000000000000018,4.166666666666674,0.0,0.0
2021,Metalurji ve Malzeme Mühendisliği,73218,367.43441,71.4,44.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022,Metalurji ve Malzeme Mühendisliği,62737,443.09405,87.4,58.0,0.0,-10481.0,75.65963999999997,16.0,13.600000000000001,0.0,20.59133220538598,-14.314785981589228,22.408963585434183,30.630630630630627,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023,Metalurji ve Malzeme Mühendisliği,53949,454.55267,90.89999999999999,59.2,0.0,-8788.0,11.458619999999996,3.499999999999986,1.2000000000000028,0.0,2.5860469126137042,-14.00768286656997,4.004576659038883,2.0689655172413834,0.0,4.099999999999998,13.758389261744952,13.700000000000003,58.54700854700856,0.8000000000000007,5.063291139240511,0.7000000000000011,4.6052631578947345,10.600000000000001,37.857142857142854,2.8000000000000007,32.558139534883736,0.09999999999999964,0.9090909090909038,-0.9000000000000004,-7.500000000000007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024,Metalurji ve Malzeme Mühendisliği,43915,442.81151,93.30000000000001,54.699999999999996,0.0,-10034.0,-11.74115999999998,2.40000000000002,-4.500000000000007,0.0,-2.583014197232625,-18.59904724832713,2.640264026402672,-7.60135135135136,0.0,1.0,3.267973856209161,4.0,17.937219730941713,0.7000000000000002,11.66666666666667,0.29999999999999893,2.0979020979020824,-1.4000000000000021,-6.896551724137945,0.0,0.0,0.0,0.0,0.0,0.0,1.1999999999999993,6.8571428571428505,0.9999999999999996,32.258064516129025,0.0,0.0,0.0,0.0,0.0,0.0,2.5,50.0,0.0,0.0
2021,Metalurji ve Malzeme Mühendisliği (İngilizce),55952,385.42349,74.30000000000001,48.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.6363636363636376,12.400000000000002,74.25149700598803,-0.5,-3.649635036496346,0.5,4.201680672268915,12.100000000000001,59.31372549019609,2.8000000000000007,54.90196078431375,-0.9000000000000004,-9.090909090909093,-2.5999999999999996,-24.29906542056075,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022,Metalurji ve Malzeme Mühendisliği (İngilizce),47547,460.54471,90.99999999999999,62.5,0.0,-8405.0,75.12122,16.699999999999974,14.299999999999997,0.0,19.490566078367454,-15.021804403774663,22.476446837146668,29.668049792531104,0.0,2.1999999999999993,8.59375,2.4999999999999996,69.44444444444441,0.30000000000000004,23.076923076923084,0.8000000000000007,6.106870229007644,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8999999999999986,5.806451612903207,0.40000000000000036,10.000000000000009,1.200000000000001,16.901408450704245,0.7999999999999998,25.806451612903224,-0.09999999999999964,-1.6666666666666607,0.7000000000000002,16.666666666666675,2.9,85.29411764705883
2023,Metalurji ve Malzeme Mühendisliği (İngilizce),36943,474.50789,95.4,64.8,0.0,-10604.0,13.963179999999966,4.40000000000002,2.299999999999997,0.0,3.031883701367444,-22.302143142574714,4.835164835164862,3.6799999999999944,0.0,-0.6999999999999957,-2.0648967551622266,-0.6000000000000014,-1.6172506738544534,2.099999999999998,12.650602409638534,0.09999999999999964,0.6289308176100628,-1.1000000000000014,-2.849740932642486,1.5999999999999996,14.035087719298245,1.200000000000001,10.81081081081081,-0.09999999999999964,-0.9009009009009028,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024,Metalurji ve Malzeme Mühendisliği (İngilizce),31450,460.3168,97.0,58.2,0.0,-5493.0,-14.191089999999974,1.5999999999999943,-6.599999999999994,0.0,-2.9906963190854396,-14.868852015266764,1.6771488469601525,-10.185185185185174,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021,Mimarlık,58814,382.28501,72.4,47.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3000000000000007,4.561403508771922,-1.8000000000000007,-6.185567010309279,0.6000000000000014,4.545454545454564,0.1999999999999993,1.6129032258064502,-4.5,-13.846153846153841,2.299999999999999,29.11392405063289,-0.5999999999999996,-6.666666666666665,-0.2999999999999998,-3.703703703703698,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
