Year,Male Change (%),Female Change (%),Total Male Number Change (%),Total Female Number Change (%),Total Student Number Change (%),Exchange to Abroad Change (%),Exchange from Abroad Change (%),Professors Change (%),Assoc Prof Change (%),Phd Change (%),Base Point Change (%),Success Order Change (%),Preferred number Change (%),Quota Change (%),Placed Number Change (%),Total Correct TYT Change (%),Total Correct AYT Change (%),Total Correct YDT Change (%),TYT Turkish Change (%),TYT Math Change (%),TYT Science Change (%),TYT Social Science Change (%),AYT Math Change (%),AYT Physics Change (%),AYT Chemistry Change (%),AYT Biology Change (%),AYT Literature Change (%),AYT Geography1 Change (%),AYT Geography2 Change (%),AYT Religion Change (%),AYT Philosophy Change (%),AYT History1 Change (%),AYT History2 Change (%),YDT Foreign Language Change (%),Marmara Change (%),Aegean Change (%),Mediterranean Change (%),Black Sea Change (%),Central Anatolia Change (%),Eastern Anatolia Change (%),Southeastern Anatolia Change (%)
2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022,1.3480982185845036,-1.2652068126520644,4.311251314405884,13.44661624594834,8.11584717336169,-57.66129032258065,166.66666666666666,10.023866348448696,6.624605678233442,-11.85682326621924,23.214843039018707,-9.366777349629373,26.922496984318457,0.0,0.04840271055179812,28.183584819387274,30.060542247959976,3.966005665722383,12.615842521815601,87.12655468649828,11.927112092766446,7.94037551956428,71.39895109159653,52.10871602624181,-0.11254924029262536,-14.300763760863845,0.6654835847382357,8.292682926829254,9.856630824372758,22.764227642276413,1.8789144050104234,9.360374414976613,58.99053627760254,3.966005665722405,4.891518737672573,-6.3063063063063085,0.0,-8.787878787878789,-10.526315789473683,-19.70802919708029,-12.592592592592588
2023,4.180522565320666,2.2671266633809806,-3.205645161290327,1.1082251082251027,-1.3204691638289856,262.85714285714283,13.636363636363647,31.670281995661597,15.088757396449704,4.060913705583746,-0.10560087155159215,-8.825095389927961,-1.4754974754974781,3.6768263183357464,3.241412675374944,0.2154115344343399,-0.46828437633034126,-3.250963074321145,0.5244494523521492,-3.5541294721968986,8.19000958326952,0.3978955947600449,-8.142788888130504,33.88786198398029,5.211267605633796,1.782421634910869,-3.938959894226546,-32.07582582582583,-21.37030995106035,3.3112582781457123,2.6639344262295195,3.1027104136947203,15.27777777777779,0.2043596730245234,7.408800300864993,6.08974358974359,-17.41573033707865,-6.976744186046513,-3.676470588235292,-1.8181818181818188,13.559322033898313
2024,-2.1431828545371623,-16.722891566265062,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.8827482776447413,-12.55060174978352,0.49075759950802933,-9.589360709286044,-9.231490159325206,1.4069078099493204,-6.956578645986722,0.7477906186267536,1.725033173714885,2.9222115516531977,-4.1385383034928,2.707189375558672,-18.880962995987506,-4.3028071790152005,-11.16465863453816,13.97946859903383,6.6238458450421644,16.05415860735011,19.709543568464728,-6.730769230769251,-3.1936127744510934,32.56658595641648,-3.2702237521514688,0.7477906186267536,-11.939775910364148,-4.8338368580060465,-0.3401360544217691,11.428571428571432,-2.2900763358778664,-14.814814814814813,-33.582089552238806
