year,department_name,quota,preferred,placed_students,Quota Change,Preferred Change,Placed Students Change,Quota Change (%),Preferred Change (%),Placed Students Change (%)
2024,Gemi İnşaatı ve Gemi Makineleri Mühendisliği,88,2044,88,6.0,565.0,6.0,7.317073170731714,38.20148749154835,7.317073170731714
2021,Gıda Mühendisliği,72,894,72,,,,,,
2022,Gıda Mühendisliği,72,1314,72,0.0,420.0,0.0,0.0,46.97986577181208,0.0
2023,Gıda Mühendisliği,72,1128,72,0.0,-186.0,0.0,0.0,-14.155251141552515,0.0
2024,Gıda Mühendisliği,41,1026,41,-31.0,-102.0,-31.0,-43.05555555555556,-9.042553191489366,-43.05555555555556
2021,Harita Mühendisliği,93,575,93,,,,,,
2022,Harita Mühendisliği,93,910,93,0.0,335.0,0.0,0.0,58.26086956521739,0.0
2023,Harita Mühendisliği,93,943,93,0.0,33.0,0.0,0.0,3.6263736263736357,0.0
2024,Harita Mühendisliği,93,1242,93,0.0,299.0,0.0,0.0,31.70731707317074,0.0
2021,Kimya,103,1227,103,,,,,,
2022,Kimya,103,1792,103,0.0,565.0,0.0,0.0,46.04726976365119,0.0
2023,Kimya,106,1618,103,3.0,-174.0,0.0,2.9126213592232997,-9.70982142857143,0.0
2024,Kimya,62,1312,62,-44.0,-306.0,-41.0,-41.509433962264154,-18.912237330037087,-39.80582524271845
2021,Kimya (İngilizce),52,972,52,,,,,,
2022,Kimya (İngilizce),52,1277,52,0.0,305.0,0.0,0.0,31.378600823045268,0.0
2023,Kimya (İngilizce),54,1183,52,2.0,-94.0,0.0,3.8461538461538547,-7.361002349256074,0.0
2024,Kimya (İngilizce),41,910,41,-13.0,-273.0,-11.0,-24.07407407407407,-23.076923076923073,-21.153846153846157
2021,Kimya Mühendisliği,82,1463,82,,,,,,
2022,Kimya Mühendisliği,82,1597,82,0.0,134.0,0.0,0.0,9.159261790840745,0.0
2023,Kimya Mühendisliği,82,1758,82,0.0,161.0,0.0,0.0,10.081402629931112,0.0
