Department Name,Year,Total Male Number,Total Female Number,Male Change,Male Percentage Change,Female Percentage Change,Quota,Preferred number,Placed Number,Professors,Phd,Assoc Prof,Quota Change,Quota Change (%),Preferred number Change,Preferred number Change (%),Placed number Change,Placed number Change (%),Professors Change,Professors Change (%),Phd Change,Phd Change (%),Assoc prof Change,Assoc prof Change (%),Base Point,Success Order,Total Correct TYT,Total Correct AYT,Total Correct YDT,Base Point Change,Success Order Change,Total Correct TYT Change,Total Correct AYT Change,Total Correct YDT Change,Base Point Change (%),Success Order Change (%),Total Correct TYT Change (%),Total Correct AYT Change (%),Total Correct YDT Change (%)
Control and Automation Engineering (English),2023,360,86,6.0,-0.27700831024930483,7.499999999999996,52,1669,52,2,7,5,0.0,0.0,420.0,33.626901521216965,0.0,0.0,0.0,0.0,1.0,16.666666666666675,3.0,150.0,457.20061,8075,68.1,0.0,74.8,34.13283999999999,434.0,10.399999999999991,0.0,1.5,8.067936727962044,5.679884831828286,18.024263431542444,,2.046384720327432
Control and Automation Engineering (English),2024,360,86,0.0,0.0,0.0,57,1912,57,2,7,5,5.0,9.615384615384626,243.0,14.559616536848408,5.0,9.615384615384626,0.0,0.0,0.0,0.0,0.0,0.0,390.09546,117624,78.0,45.3,0.0,74.12398999999999,-18972.0,16.299999999999997,11.799999999999997,0.0,23.459076859059458,-13.889132917508562,26.418152350081026,35.22388059701491,
Economics,2023,54,52,0.0,0.0,0.0,106,4822,106,14,8,3,,,,,,,,,,,,,406.61907,98859,80.0,48.7,0.0,74.04925000000003,-14187.0,14.200000000000003,11.900000000000006,0.0,22.265775649756804,-12.549758505387187,21.580547112462,32.336956521739154,
Economics,2024,54,52,0.0,0.0,0.0,103,2829,103,14,8,3,-3.0,-2.8301886792452824,-1993.0,-41.33139776026545,-3.0,-2.8301886792452824,0.0,0.0,0.0,0.0,0.0,0.0,433.33719,13437,62.4,0.0,72.0,44.57647000000003,-2165.0,14.399999999999999,0.0,4.099999999999994,11.46629988749892,-13.876426099218053,30.000000000000004,,6.038291605301915
Economics (English),2021,170,110,0.0,0.0,0.0,52,1188,52,11,10,3,,,,,,,,,,,,,348.89619,177870,71.1,33.9,0.0,64.00040000000001,-16079.0,17.39999999999999,5.799999999999997,0.0,22.464494824581305,-8.290323744902006,32.40223463687148,20.64056939501777,
Economics (English),2022,216,127,17.0,27.058823529411757,15.454545454545453,52,1406,52,0,0,0,0.0,0.0,218.0,18.35016835016836,0.0,0.0,-11.0,-100.0,-10.0,-100.0,-3.0,-100.0,384.62513,87337,67.4,45.6,0.0,48.50072,18154.0,9.600000000000009,7.5,0.0,14.42939535394052,26.240550424237163,16.608996539792397,19.685039370078748,
Economics (English),2023,222,134,7.0,2.777777777777768,5.5118110236220375,54,1645,52,14,8,3,2.0,3.8461538461538547,239.0,16.99857752489331,0.0,0.0,14.0,inf,8.0,inf,3.0,inf,503.12503,15537,101.1,70.8,0.0,76.42466999999999,-8590.0,20.0,13.899999999999999,0.0,17.910617652162287,-35.603266050482866,24.660912453760787,24.42882249560632,
Economics (English),2024,222,134,0.0,0.0,0.0,62,2004,62,14,8,3,8.0,14.814814814814813,359.0,21.82370820668693,10.0,19.23076923076923,0.0,0.0,0.0,0.0,0.0,0.0,510.95328,11027,103.5,72.2,0.0,71.56459000000001,-5814.0,19.299999999999997,12.600000000000001,0.0,16.28730816899271,-34.52289056469331,22.921615201900238,21.140939597315445,
Electrical Engineering,2021,835,112,0.0,0.0,0.0,134,1166,134,7,18,6,,,,,,,,,,,,,429.97242,74874,83.2,55.1,0.0,78.48192999999998,-15335.0,16.700000000000003,13.600000000000001,0.0,22.328322453332937,-16.99941247547362,25.112781954887218,32.77108433734941,
Electrical Engineering,2022,758,132,20.0,-9.221556886227544,17.85714285714286,134,1641,134,8,18,7,0.0,0.0,475.0,40.73756432246998,0.0,0.0,1.0,14.28571428571428,0.0,0.0,1.0,16.666666666666675,482.20758,30017,96.8,66.8,0.0,81.77157,-13128.0,21.299999999999997,15.599999999999994,0.0,20.420633498970275,-30.427627766832778,28.211920529801326,30.46874999999998,
Electrical Engineering,2023,720,137,5.0,-5.013192612137207,3.7878787878787845,134,1894,134,9,14,16,0.0,0.0,253.0,15.4174283973187,0.0,0.0,1.0,12.5,-4.0,-22.22222222222222,9.0,128.57142857142856,496.81636,19614,100.2,70.0,0.0,85.59313999999995,-14944.0,21.5,15.899999999999999,0.0,20.81427697589644,-43.24324324324324,27.318932655654393,29.390018484288348,
Electrical Engineering,2024,720,137,0.0,0.0,0.0,139,2143,139,9,14,16,5.0,3.731343283582089,249.0,13.146779303062296,5.0,3.731343283582089,0.0,0.0,0.0,0.0,0.0,0.0,459.85927,48118,81.2,63.2,0.0,459.85927,48118.0,81.2,63.2,0.0,inf,inf,inf,inf,
Electronics and Communication Engineering,2021,712,102,0.0,0.0,0.0,113,1259,113,7,9,7,,,,,,,,,,,,,419.60663,85092,84.8,54.0,0.0,77.31574,-16017.0,19.0,13.200000000000003,0.0,22.58772940173781,-15.84131976381924,28.875379939209722,32.35294117647061,
Electronics and Communication Engineering,2022,688,109,7.0,-3.3707865168539297,6.8627450980392135,113,1623,113,9,5,9,0.0,0.0,364.0,28.91183478951549,0.0,0.0,2.0,28.57142857142858,-4.0,-44.44444444444444,2.0,28.57142857142858,476.33972,34612,94.7,65.9,0.0,72.77507000000003,-5980.0,18.700000000000003,12.600000000000009,0.0,18.03306359959922,-14.731966890027593,24.60526315789473,23.639774859287076,
Electronics and Communication Engineering,2023,635,107,-2.0,-7.703488372093026,-1.834862385321101,113,1913,113,13,8,7,0.0,0.0,290.0,17.86814540973505,0.0,0.0,4.0,44.44444444444444,3.0,60.00000000000001,-2.0,-22.22222222222222,483.5017,29075,95.7,66.8,0.0,75.63096000000002,-8085.0,20.299999999999997,12.799999999999997,0.0,18.542874637195105,-21.757265877287402,26.923076923076916,23.703703703703695,
Electronics and Communication Engineering,2024,635,107,0.0,0.0,0.0,118,2079,118,13,8,7,5.0,4.424778761061954,166.0,8.677469942498695,5.0,4.424778761061954,0.0,0.0,0.0,0.0,0.0,0.0,494.71871,20973,98.3,69.4,0.0,74.27026000000001,-7187.0,19.599999999999994,13.700000000000003,0.0,17.664534142057132,-25.522017045454547,24.904701397712834,24.59605026929983,
Elementary Mathematics Education,2021,92,225,0.0,0.0,0.0,62,1394,62,1,3,1,,,,,,,,,,,,,425.92744,78831,90.8,46.3,0.0,425.92744,78831.0,90.8,46.3,0.0,inf,inf,inf,inf,
Elementary Mathematics Education,2022,96,248,23.0,4.347826086956519,10.222222222222221,62,1097,62,1,1,3,0.0,0.0,-297.0,-21.30559540889526,0.0,0.0,0.0,0.0,-2.0,-66.66666666666667,2.0,200.0,443.09405,62737,87.4,58.0,0.0,75.65963999999997,-10481.0,16.0,13.600000000000001,0.0,20.59133220538598,-14.314785981589228,22.408963585434183,30.630630630630627,
Elementary Mathematics Education,2023,86,232,-16.0,-10.416666666666663,-6.451612903225811,62,712,62,1,1,3,0.0,0.0,-385.0,-35.09571558796718,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,460.54471,47547,91.0,62.5,0.0,75.12122,-8405.0,16.700000000000003,14.299999999999997,0.0,19.490566078367454,-15.021804403774663,22.476446837146714,29.668049792531104,
Elementary Mathematics Education,2024,86,232,0.0,0.0,0.0,31,354,31,1,1,3,-31.0,-50.0,-358.0,-50.2808988764045,-31.0,-50.0,0.0,0.0,0.0,0.0,0.0,0.0,450.03917,56555,89.6,59.1,0.0,69.24346000000003,-3622.0,14.299999999999997,12.300000000000004,0.0,18.183886577923914,-6.018910879571926,18.990703851261625,26.2820512820513,
English Language Teaching,2021,112,191,0.0,0.0,0.0,62,1445,62,0,2,2,,,,,,,,,,,,,456.77282,50704,90.1,61.6,0.0,72.52438000000001,-6299.0,17.099999999999994,12.399999999999999,0.0,18.874345983031194,-11.050295598477277,23.424657534246563,25.203252032520318,
English Language Teaching,2022,119,202,11.0,6.25,5.759162303664911,62,1822,62,1,2,1,0.0,0.0,377.0,26.089965397923876,0.0,0.0,1.0,inf,0.0,0.0,-1.0,-50.0,374.47269,55005,53.6,49.7,0.0,56.56196,-14936.0,6.0,7.400000000000006,0.0,17.791774439321383,-21.3551421912755,12.605042016806722,17.494089834515393,
English Language Teaching,2023,112,197,-5.0,-5.882352941176472,-2.4752475247524774,62,1376,62,1,3,3,0.0,0.0,-446.0,-24.47859495060373,0.0,0.0,0.0,0.0,1.0,50.0,2.0,200.0,343.06152,188673,72.3,38.5,0.0,71.64237999999995,-37583.0,18.099999999999994,13.5,0.0,26.395478226038115,-16.610830210027583,33.39483394833947,54.0,
English Language Teaching,2024,112,197,0.0,0.0,0.0,41,1980,41,1,3,3,-21.0,-33.87096774193549,604.0,43.89534883720929,-21.0,-33.87096774193549,0.0,0.0,0.0,0.0,0.0,0.0,364.90424,133761,64.9,39.2,0.0,62.551710000000014,-10794.0,12.600000000000009,8.200000000000003,0.0,20.688336889392,-7.467054062467571,24.09177820267687,26.45161290322582,
Environmental Engineering,2021,178,283,0.0,0.0,0.0,72,909,72,14,4,7,,,,,,,,,,,,,415.08841,12247,55.5,60.3,0.0,45.2688,118.0,5.799999999999997,5.899999999999999,0.0,12.240778686668353,0.9728749278588467,11.670020120724335,10.845588235294112,
Environmental Engineering,2022,168,306,23.0,-5.61797752808989,8.127208480565361,72,997,72,16,3,8,0.0,0.0,88.0,9.680968096809671,0.0,0.0,2.0,14.28571428571428,-1.0,-25.0,1.0,14.28571428571428,385.64321,85197,66.0,45.7,0.0,54.23117000000002,7668.0,10.799999999999997,7.0,0.0,16.363669225777077,9.890492589869604,19.565217391304344,18.087855297157617,
Environmental Engineering,2023,150,293,-13.0,-10.71428571428571,-4.248366013071891,72,960,72,16,4,10,0.0,0.0,-37.0,-3.711133400200606,0.0,0.0,0.0,0.0,1.0,33.33333333333333,2.0,25.0,352.41279,171793,69.3,38.0,0.0,52.33191999999997,8427.0,12.5,6.399999999999999,0.0,17.439272286833862,5.158356083885263,22.007042253521124,20.253164556962023,
Environmental Engineering,2024,150,293,0.0,0.0,0.0,52,999,52,16,4,10,-20.0,-27.77777777777778,39.0,4.062499999999991,-20.0,-27.77777777777778,0.0,0.0,0.0,0.0,0.0,0.0,384.55109,39600,51.9,52.9,0.0,44.228999999999985,4448.0,7.899999999999999,4.5,0.0,12.996217788859955,12.653618570778335,17.954545454545446,9.297520661157034,
Food Engineering,2021,63,323,0.0,0.0,0.0,72,894,72,4,3,4,,,,,,,,,,,,,406.24208,99244,81.4,50.6,0.0,95.49748,-45663.0,20.800000000000004,16.6,0.0,30.73182285388065,-31.511935241223675,34.32343234323434,48.82352941176471,
Food Engineering,2022,73,338,15.0,15.873015873015884,4.643962848297223,72,1314,72,3,2,6,0.0,0.0,420.0,46.97986577181208,0.0,0.0,-1.0,-25.0,-1.0,-33.333333333333336,2.0,50.0,410.98162,14581,55.8,59.6,0.0,39.14094,3372.0,4.799999999999997,3.1000000000000014,0.0,10.526266249297954,30.08296904273351,9.41176470588234,5.486725663716818,
Food Engineering,2023,79,331,-7.0,8.219178082191792,-2.071005917159763,72,1128,72,5,3,4,0.0,0.0,-186.0,-14.155251141552515,0.0,0.0,2.0,66.66666666666667,1.0,50.0,-2.0,-33.333333333333336,375.5865,53074,49.4,50.1,0.0,52.37446,-6786.0,5.799999999999997,6.800000000000004,0.0,16.20436540668473,-11.336451720681595,13.30275229357798,15.704387990762125,
Food Engineering,2024,79,331,0.0,0.0,0.0,41,1026,41,5,3,4,-31.0,-43.05555555555556,-102.0,-9.042553191489366,-31.0,-43.05555555555556,0.0,0.0,0.0,0.0,0.0,0.0,332.94626,209019,65.8,31.7,0.0,59.05926999999997,-11097.0,13.0,7.5,0.0,21.563371812585896,-5.041432699122284,24.62121212121213,30.99173553719008,
French Translation and Interpreting,2021,14,37,0.0,0.0,0.0,52,1141,52,2,1,2,,,,,,,,,,,,,444.32134,63449,87.7,57.0,0.0,2.868280000000027,-802.0,-0.20000000000000284,-0.6000000000000014,0.0,0.6497361237002286,-1.2482295995393078,-0.22753128555176305,-1.041666666666674,
French Translation and Interpreting,2022,50,90,53.0,257.14285714285717,143.24324324324326,52,1157,52,2,2,3,0.0,0.0,16.0,1.4022787028922012,0.0,0.0,0.0,0.0,1.0,100.0,1.0,50.0,459.61599,49604,91.2,60.2,0.0,-1.0560100000000148,2168.0,-0.5999999999999943,-0.5999999999999943,0.0,-0.22923251250347443,4.570368496500543,-0.6535947712418277,-0.9868421052631526,
French Translation and Interpreting,2023,46,123,33.0,-7.9999999999999964,36.66666666666667,54,880,54,1,5,3,2.0,3.8461538461538547,-277.0,-23.941227312013822,2.0,3.8461538461538547,-1.0,-50.0,3.0,150.0,0.0,0.0,364.4445,72980,53.4,44.7,0.0,0.6661799999999971,-2550.0,3.6999999999999957,-2.6999999999999957,0.0,0.18312801048725458,-3.3761419303588003,7.444668008048283,-5.696202531645556,
French Translation and Interpreting,2024,46,123,0.0,0.0,0.0,57,1064,57,1,5,3,3.0,5.555555555555558,184.0,20.9090909090909,3.0,5.555555555555558,0.0,0.0,0.0,0.0,0.0,0.0,437.60445,69728,85.6,55.1,0.0,11.789049999999975,-9208.0,3.299999999999997,1.8000000000000043,0.0,2.7685823481254923,-11.665146447755149,4.009720534629402,3.3771106941838713,
Geomatic Engineering,2021,434,199,0.0,0.0,0.0,93,575,93,12,10,7,,,,,,,,,,,,,448.85903,59276,89.8,57.7,0.0,10.359230000000025,-7658.0,1.0,2.200000000000003,0.0,2.3624252508211097,-11.441121104371465,1.1261261261261257,3.963963963963968,
Geomatic Engineering,2022,380,208,9.0,-12.442396313364057,4.522613065326642,93,910,93,16,9,5,0.0,0.0,335.0,58.26086956521739,0.0,0.0,4.0,33.33333333333333,-1.0,-9.999999999999998,-2.0,-28.57142857142857,435.17454,72027,86.3,54.9,0.0,4.928489999999954,-2581.0,0.29999999999999716,0.6999999999999957,0.0,1.145504996501412,-3.459414539995709,0.34883720930232176,1.291512915129145,
Geomatic Engineering,2023,345,201,-7.0,-9.210526315789469,-3.3653846153846145,93,943,93,17,8,7,0.0,0.0,33.0,3.6263736263736357,0.0,0.0,1.0,6.25,-1.0,-11.111111111111116,2.0,39.99999999999999,395.91782,51678,73.2,45.9,0.0,8.972050000000024,-30900.0,4.5,0.6999999999999957,0.0,2.3186840884706017,-37.41916733270363,6.550218340611358,1.5486725663716783,
Geomatic Engineering,2024,345,201,0.0,0.0,0.0,93,1242,93,17,8,7,0.0,0.0,299.0,31.70731707317074,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,431.79331,12061,81.7,53.3,0.0,10.22845000000001,-13670.0,2.0,1.0999999999999943,0.0,2.4263051716407302,-53.12657883486844,2.509410288582181,2.1072796934865856,
Guidance and Psychological Counseling,2021,86,269,0.0,0.0,0.0,72,1214,72,3,1,0,,,,,,,,,,,,,469.35381,41104,93.8,62.8,0.0,11.113290000000006,-8358.0,4.0,1.2999999999999972,0.0,2.4252089273990807,-16.89782054910841,4.454342984409809,2.113821138211369,
Guidance and Psychological Counseling,2022,93,282,13.0,8.139534883720923,4.832713754646845,72,1205,72,8,7,5,0.0,0.0,-9.0,-0.7413509060955503,0.0,0.0,5.0,166.66666666666666,6.0,600.0,5.0,inf,484.45434,29203,96.5,66.3,0.0,13.032640000000015,-9315.0,3.0999999999999943,1.8999999999999915,0.0,2.7645396891997187,-24.18349862401994,3.3190578158458273,2.9503105590062084,
Guidance and Psychological Counseling,2023,87,298,16.0,-6.451612903225811,5.673758865248235,72,1587,72,4,2,2,0.0,0.0,382.0,31.701244813278006,0.0,0.0,-4.0,-50.0,-5.0,-71.42857142857143,-3.0,-60.0,414.37146,93677,82.5,49.3,0.0,22.66237000000001,-21995.0,5.5,3.6999999999999957,0.0,5.785510364336965,-19.01497337298569,7.14285714285714,8.114035087719284,
Guidance and Psychological Counseling,2024,87,298,0.0,0.0,0.0,41,1376,41,4,2,2,-31.0,-43.05555555555556,-211.0,-13.295526149968495,-31.0,-43.05555555555556,0.0,0.0,0.0,0.0,0.0,0.0,434.60637,72562,86.9,54.9,0.0,13.846990000000005,-11408.0,3.1000000000000085,1.7999999999999972,0.0,3.2909521826940624,-13.585804453971662,3.699284009546555,3.3898305084745672,
Industrial Engineering,2021,333,278,0.0,0.0,0.0,82,1769,82,9,8,4,,,,,,,,,,,,,421.41921,86151,83.6,51.8,0.0,12.24027000000001,-9911.0,3.799999999999997,1.0999999999999943,0.0,2.9914222858097306,-10.317295080260669,4.761904761904767,2.1696252465483123,
Industrial Engineering,2022,357,286,8.0,7.2072072072072,2.877697841726623,82,2390,82,10,8,5,0.0,0.0,621.0,35.104578858111935,0.0,0.0,1.0,11.111111111111116,0.0,0.0,1.0,25.0,443.14316,64531,86.6,56.7,0.0,12.770790000000034,-9975.0,1.6999999999999886,2.4000000000000057,0.0,2.96738147943838,-13.38818350199984,2.0023557126030544,4.419889502762442,
Industrial Engineering,2023,334,270,-16.0,-6.442577030812324,-5.594405594405593,82,2036,82,10,8,4,0.0,0.0,-354.0,-14.81171548117155,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-19.999999999999996,420.80734,8519,62.5,57.4,0.0,2.6325199999999995,-2177.0,0.5,-1.2000000000000028,0.0,0.6295261871577917,-20.35340314136126,0.8064516129032251,-2.0477815699658786,
Industrial Engineering,2024,334,270,0.0,0.0,0.0,88,1976,88,10,8,4,6.0,7.317073170731714,-60.0,-2.946954813359526,6.0,7.317073170731714,0.0,0.0,0.0,0.0,0.0,0.0,371.38591,150613,76.6,40.6,0.0,24.174720000000036,-30340.0,5.8999999999999915,4.100000000000001,0.0,6.9625405794093265,-16.766784745210085,8.345120226308333,11.232876712328776,
Industrial Engineering (English),2021,224,160,0.0,0.0,0.0,52,1960,52,9,8,4,,,,,,,,,,,,,527.29304,5039,107.1,75.6,0.0,3.27679999999998,-17.0,0.6999999999999886,0.29999999999999716,0.0,0.6253241311757751,-0.3362341772151889,0.6578947368421018,0.3984063745019917,
Industrial Engineering (English),2022,268,199,39.0,19.64285714285714,24.374999999999993,52,2626,52,10,8,5,0.0,0.0,666.0,33.97959183673469,0.0,0.0,1.0,11.111111111111116,0.0,0.0,1.0,25.0,320.68287,285723,58.2,28.4,0.0,3.8652699999999527,-25717.0,2.1000000000000014,-0.20000000000000284,0.0,1.2200300740867753,-8.257449267916773,3.743315508021383,-0.6993006993007089,
Industrial Engineering (English),2023,265,203,4.0,-1.1194029850746245,2.01005025125629,52,2346,52,10,8,4,0.0,0.0,-280.0,-10.66260472201066,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-19.999999999999996,0.0,0,0.0,0.0,0.0,,,,,,,,,,
Industrial Engineering (English),2024,265,203,0.0,0.0,0.0,57,2044,57,10,8,4,5.0,9.615384615384626,-302.0,-12.872975277067344,5.0,9.615384615384626,0.0,0.0,0.0,0.0,0.0,0.0,495.74667,21387,98.5,68.6,0.0,16.832499999999982,-11211.0,3.0999999999999943,2.799999999999997,0.0,3.5147216462607433,-34.391680471194555,3.2494758909853205,4.255319148936176,
Marine Engineering,2021,434,19,0.0,0.0,0.0,72,801,72,4,9,4,,,,,,,,,,,,,501.99406,17417,101.1,69.6,0.0,13.378440000000012,-7849.0,2.5,1.7999999999999972,0.0,2.7380295374102026,-31.06546346869311,2.535496957403649,2.6548672566371723,
Marine Engineering,2022,471,34,15.0,8.525345622119819,78.94736842105263,72,1158,72,4,7,6,0.0,0.0,357.0,44.569288389513105,0.0,0.0,0.0,0.0,-2.0,-22.22222222222222,2.0,50.0,381.23125,79271,68.4,43.2,0.0,,,,,,,,,,
Marine Engineering,2023,416,39,5.0,-11.677282377919319,14.705882352941169,72,1086,72,5,6,6,0.0,0.0,-72.0,-6.217616580310881,0.0,0.0,1.0,25.0,-1.0,-14.28571428571429,0.0,0.0,435.35202,10367,83.9,55.4,0.0,12.664079999999956,-14147.0,6.400000000000006,1.5,0.0,2.9960826419603848,-57.70988006853226,8.25806451612905,2.782931354359919,
Marine Engineering,2024,416,39,0.0,0.0,0.0,77,1255,77,5,6,6,5.0,6.944444444444442,169.0,15.56169429097607,5.0,6.944444444444442,0.0,0.0,0.0,0.0,0.0,0.0,477.74322,34345,95.4,65.3,0.0,15.664170000000013,-11833.0,4.1000000000000085,2.1999999999999957,0.0,3.389932956276631,-25.62475637749577,4.490690032858713,3.4865293185419866,
Mathematical Engineering,2021,364,347,0.0,0.0,0.0,103,1057,103,11,10,5,,,,,,,,,,,,,507.10034,14363,101.8,71.5,0.0,9.889670000000024,-5018.0,2.5,1.2999999999999972,0.0,1.989030122784774,-25.891336876322168,2.5176233635448186,1.8518518518518379,
Mathematical Engineering,2022,367,302,-45.0,0.8241758241758212,-12.968299711815568,103,1961,103,12,9,5,0.0,0.0,904.0,85.52507095553452,0.0,0.0,1.0,9.090909090909083,-1.0,-9.999999999999998,0.0,0.0,428.86933,78355,83.5,54.4,0.0,-8.298900000000003,10204.0,0.29999999999999716,-3.1000000000000014,0.0,-1.8983309926249636,14.97263429736908,0.36057692307691624,-5.391304347826087,
Mathematical Engineering,2023,402,274,-28.0,9.53678474114441,-9.27152317880795,103,2283,103,14,10,5,0.0,0.0,322.0,16.420193778684357,0.0,0.0,2.0,16.666666666666675,1.0,11.111111111111116,0.0,0.0,459.43422,8636,70.8,0.0,74.4,2.2336099999999988,561.0,2.700000000000003,0.0,-0.3999999999999915,0.4885404680453176,6.947368421052635,3.96475770925111,,-0.5347593582887611
Mathematical Engineering,2024,402,274,0.0,0.0,0.0,108,2106,108,14,10,5,5.0,4.854368932038833,-177.0,-7.752956636005259,5.0,4.854368932038833,0.0,0.0,0.0,0.0,0.0,0.0,405.55598,103848,81.8,46.7,0.0,15.460519999999974,-13776.0,3.799999999999997,1.4000000000000057,0.0,3.963265811911776,-11.711895531524174,4.871794871794877,3.0905077262693315,
Mathematical Engineering (English),2021,205,197,0.0,0.0,0.0,72,1072,72,11,10,5,,,,,,,,,,,,,420.75616,86820,83.0,51.5,0.0,14.13709,-12039.0,3.0,2.799999999999997,0.0,3.4767405276884933,-12.177950414226324,3.750000000000009,5.749486652977409,
Mathematical Engineering (English),2022,272,186,-11.0,32.6829268292683,-5.58375634517766,72,1932,72,12,9,5,0.0,0.0,860.0,80.22388059701493,0.0,0.0,1.0,9.090909090909083,-1.0,-9.999999999999998,0.0,0.0,448.15957,11332,67.8,0.0,72.7,14.822379999999953,-2105.0,5.399999999999999,0.0,0.7000000000000028,3.420518788152016,-15.665699188807025,8.653846153846146,,0.9722222222222188
Mathematical Engineering (English),2023,306,175,-11.0,12.5,-5.913978494623651,72,2035,72,14,10,5,0.0,0.0,103.0,5.331262939958603,0.0,0.0,2.0,16.666666666666675,1.0,11.111111111111116,0.0,0.0,369.02434,154392,72.3,39.3,0.0,20.128150000000005,-23478.0,1.2000000000000028,5.399999999999999,0.0,5.769094239750805,-13.199527744982287,1.6877637130801704,15.92920353982301,
Mathematical Engineering (English),2024,306,175,0.0,0.0,0.0,77,2065,77,14,10,5,5.0,6.944444444444442,30.0,1.4742014742014753,5.0,6.944444444444442,0.0,0.0,0.0,0.0,0.0,0.0,385.29609,70958,68.2,44.6,0.0,0.6709599999999796,-16379.0,0.7999999999999972,-1.0,0.0,0.17444517990803377,-18.753792779692457,1.1869436201780381,-2.1929824561403466,
Mathematical Engineering (TRNC Citizens),2021,0,0,0.0,0.0,0.0,1,3,0,0,0,0,,,,,,,,,,,,,512.32237,11527,102.8,72.1,0.0,9.197339999999997,-4010.0,1.7000000000000028,1.2999999999999972,0.0,1.8280426239179581,-25.80935830597928,1.6815034619188873,1.836158192090398,
Mathematical Engineering (TRNC Citizens),2022,0,0,0.0,0.0,0.0,1,9,1,0,0,0,0.0,0.0,6.0,200.0,1.0,inf,0.0,,0.0,,0.0,,519.59063,8111,104.4,73.8,0.0,8.637350000000026,-2916.0,0.9000000000000057,1.5999999999999943,0.0,1.6904383116984834,-26.444182461231524,0.8695652173912993,2.216066481994461,
Mathematical Engineering (TRNC Citizens),2023,0,0,0.0,0.0,0.0,1,6,1,14,10,5,0.0,0.0,-3.0,-33.333333333333336,0.0,0.0,14.0,inf,10.0,inf,5.0,inf,445.32388,62528,86.9,57.7,0.0,15.351459999999975,-12346.0,3.700000000000003,2.6000000000000014,0.0,3.570335976433081,-16.489034911985467,4.447115384615397,4.7186932849364815,
Mathematical Engineering (TRNC Citizens),2024,0,0,0.0,0.0,0.0,1,11,1,14,10,5,0.0,0.0,5.0,83.33333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,503.50772,16507,100.8,71.0,0.0,21.30014,-13510.0,4.0,4.200000000000003,0.0,4.417213848027846,-45.007828896958394,4.132231404958686,6.287425149700598,
Mathematics,2021,190,235,0.0,0.0,0.0,82,1084,82,11,18,10,,,,,,,,,,,,,511.62595,11881,103.1,72.6,0.0,14.809590000000014,-7733.0,2.8999999999999915,2.5999999999999943,0.0,2.980898213577343,-39.42592026103804,2.894211576846306,3.7142857142857144,
Mathematics,2022,232,193,-42.0,22.10526315789474,-17.872340425531917,82,1974,82,11,14,10,0.0,0.0,890.0,82.10332103321034,0.0,0.0,0.0,0.0,-4.0,-22.22222222222222,0.0,0.0,413.63903,94505,69.6,50.8,0.0,-46.22023999999999,46387.0,-11.600000000000009,-12.400000000000006,0.0,-10.050953197050916,96.40259362400765,-14.28571428571429,-19.620253164556967,
Mathematics,2023,254,198,5.0,9.482758620689658,2.590673575129543,84,1802,82,17,11,8,2.0,2.4390243902439046,-172.0,-8.71327254305978,0.0,0.0,6.0,54.54545454545454,-3.0,-21.42857142857143,-2.0,-19.999999999999996,436.81543,70496,87.8,56.7,0.0,17.208799999999997,-14596.0,3.0,2.700000000000003,0.0,4.101174473816105,-17.153198890612508,3.5377358490566113,5.000000000000004,
Mathematics,2024,254,198,0.0,0.0,0.0,82,1301,82,17,11,8,-2.0,-2.3809523809523836,-501.0,-27.802441731409544,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,487.86232,26723,98.2,67.5,0.0,11.522600000000011,-7889.0,3.5,1.5999999999999943,0.0,2.418987860176758,-22.792673061366,3.6958817317845893,2.427921092564489,
Mechanical Engineering,2021,1546,122,0.0,0.0,0.0,216,2352,216,23,26,14,,,,,,,,,,,,,495.72087,21399,98.9,68.5,0.0,12.219169999999963,-7676.0,3.200000000000003,1.7000000000000028,0.0,2.5272237925947127,-26.400687876182282,3.3437826541274918,2.5449101796407136,
Mechanical Engineering,2022,1429,150,28.0,-7.56791720569211,22.95081967213115,216,2903,216,25,17,18,0.0,0.0,551.0,23.426870748299322,0.0,0.0,2.0,8.695652173913038,-9.0,-34.61538461538461,4.0,28.57142857142858,502.65361,17015,100.9,70.1,0.0,7.934900000000027,-3958.0,2.6000000000000085,0.6999999999999886,0.0,1.6039215496822523,-18.87188289705812,2.64496439471007,1.0086455331411948,
Mechanical Engineering,2023,1277,165,15.0,-10.636808957312805,10.000000000000009,216,2933,216,28,16,21,0.0,0.0,30.0,1.033413709955222,0.0,0.0,3.0,12.00000000000001,-1.0,-5.882352941176472,3.0,16.666666666666675,352.2362,184253,58.5,40.6,0.0,-73.69124,105422.0,-32.3,-5.699999999999996,0.0,-17.301360062643532,133.73165379102127,-35.57268722466959,-12.311015118790491,
Mechanical Engineering,2024,1277,165,0.0,0.0,0.0,221,3302,221,28,16,21,5.0,2.314814814814814,369.0,12.580975110808046,5.0,2.314814814814814,0.0,0.0,0.0,0.0,0.0,0.0,454.55267,53949,90.9,59.2,0.0,11.458619999999996,-8788.0,3.5,1.2000000000000028,0.0,2.5860469126137042,-14.00768286656997,4.004576659038905,2.0689655172413834,
