department_name,total_male_number_2021,total_male_number_2022,total_male_number_2023,total_male_number_2024,total_female_number_2021,total_female_number_2022,total_female_number_2023,total_female_number_2024,male_change_2021,male_change_2022,male_change_2023,male_change_2024,female_change_2021,female_change_2022,female_change_2023,female_change_2024
Metalurji ve Malzeme Mühendisliği (İngilizce),203.0,209.0,205.0,205.0,124.0,129.0,127.0,127.0,,2.9556650246305383,-1.9138755980861233,0.0,,4.0322580645161255,-1.5503875968992276,0.0
Mimarlık,465.0,422.0,341.0,341.0,645.0,733.0,684.0,684.0,,-9.247311827956995,-19.194312796208536,0.0,,13.643410852713188,-6.684856753069579,0.0
Mimarlık (İngilizce),162.0,190.0,180.0,180.0,262.0,357.0,371.0,371.0,,17.28395061728396,-5.263157894736848,0.0,,36.25954198473282,3.9215686274509887,0.0
Moleküler Biyoloji ve Genetik,124.0,130.0,135.0,135.0,254.0,326.0,323.0,323.0,,4.8387096774193505,3.8461538461538547,0.0,,28.346456692913378,-0.9202453987730008,0.0
Okul Öncesi Öğretmenliği,43.0,48.0,45.0,45.0,258.0,280.0,257.0,257.0,,11.627906976744185,-6.25,0.0,,8.52713178294573,-8.214285714285719,0.0
Rehberlik ve Psikolojik Danışmanlık,86.0,93.0,87.0,87.0,269.0,282.0,298.0,298.0,,8.139534883720923,-6.451612903225811,0.0,,4.832713754646845,5.673758865248235,0.0
Sanat ve Kültür Yönetimi,26.0,73.0,107.0,107.0,36.0,119.0,155.0,155.0,,180.76923076923075,46.57534246575344,0.0,,230.55555555555554,30.252100840336137,0.0
Siyaset Bilimi ve Uluslararası İlişkiler,212.0,196.0,188.0,188.0,292.0,302.0,299.0,299.0,,-7.547169811320753,-4.081632653061229,0.0,,3.424657534246567,-0.9933774834437137,0.0
Sosyal Bilgiler Öğretmenliği,86.0,95.0,99.0,99.0,163.0,165.0,150.0,150.0,,10.465116279069765,4.210526315789465,0.0,,1.2269938650306678,-9.090909090909093,0.0
Sınıf Öğretmenliği,65.0,65.0,66.0,66.0,210.0,228.0,221.0,221.0,,0.0,1.538461538461533,0.0,,8.571428571428562,-3.0701754385964897,0.0
