department_name,year,quota,preferred,placed_students,professors,phd,assoc_prof,Quota Change,Quota Change (%),Preferred Change,Preferred Change (%),Placed_students Change,Placed_students Change (%),Professors Change,Professors Change (%),Phd Change,Phd Change (%),Assoc_prof Change,Assoc_prof Change (%)
Türkçe Öğretmenliği,2024,41,699,41,4,4,3,-21.0,-33.87096774193549,-174.0,-19.931271477663227,-21.0,-33.87096774193549,0.0,0.0,0.0,0.0,0.0,0.0
Çevre Mühendisliği,2021,72,909,72,14,4,7,,,,,,,,,,,,
Çevre Mühendisliği,2022,72,997,72,16,3,8,0.0,0.0,88.0,9.680968096809671,0.0,0.0,2.0,14.28571428571428,-1.0,-25.0,1.0,14.28571428571428
Çevre Mühendisliği,2023,72,960,72,16,4,10,0.0,0.0,-37.0,-3.711133400200606,0.0,0.0,0.0,0.0,1.0,33.33333333333333,2.0,25.0
Çevre Mühendisliği,2024,52,999,52,16,4,10,-20.0,-27.77777777777778,39.0,4.062499999999991,-20.0,-27.77777777777778,0.0,0.0,0.0,0.0,0.0,0.0
İktisat,2023,106,4822,106,14,8,3,,,,,,,,,,,,
İktisat,2024,103,2829,103,14,8,3,-3.0,-2.8301886792452824,-1993.0,-41.33139776026545,-3.0,-2.8301886792452824,0.0,0.0,0.0,0.0,0.0,0.0
İktisat (İngilizce),2021,52,1188,52,11,10,3,,,,,,,,,,,,
İktisat (İngilizce),2022,52,1406,52,0,0,0,0.0,0.0,218.0,18.35016835016836,0.0,0.0,-11.0,-100.0,-10.0,-100.0,-3.0,-100.0
İktisat (İngilizce),2023,54,1645,52,14,8,3,2.0,3.8461538461538547,239.0,16.99857752489331,0.0,0.0,14.0,inf,8.0,inf,3.0,inf
İktisat (İngilizce),2024,62,2004,62,14,8,3,8.0,14.814814814814813,359.0,21.82370820668693,10.0,19.23076923076923,0.0,0.0,0.0,0.0,0.0,0.0
İletişim ve Tasarımı,2021,62,660,62,0,2,0,,,,,,,,,,,,
İletişim ve Tasarımı,2022,62,979,62,0,2,1,0.0,0.0,319.0,48.33333333333334,0.0,0.0,0.0,,0.0,0.0,1.0,inf
İletişim ve Tasarımı,2023,64,811,64,1,2,1,2.0,3.2258064516129004,-168.0,-17.16036772216547,2.0,3.2258064516129004,1.0,inf,0.0,0.0,0.0,0.0
İletişim ve Tasarımı,2024,67,894,67,1,2,1,3.0,4.6875,83.0,10.234278668310726,3.0,4.6875,0.0,0.0,0.0,0.0,0.0,0.0
İlköğretim Matematik Öğretmenliği,2021,62,1394,62,1,3,1,,,,,,,,,,,,
İlköğretim Matematik Öğretmenliği,2022,62,1097,62,1,1,3,0.0,0.0,-297.0,-21.30559540889526,0.0,0.0,0.0,0.0,-2.0,-66.66666666666667,2.0,200.0
İlköğretim Matematik Öğretmenliği,2023,62,712,62,1,1,3,0.0,0.0,-385.0,-35.09571558796718,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
İlköğretim Matematik Öğretmenliği,2024,31,354,31,1,1,3,-31.0,-50.0,-358.0,-50.2808988764045,-31.0,-50.0,0.0,0.0,0.0,0.0,0.0,0.0
İngilizce Öğretmenliği,2021,62,1445,62,0,2,2,,,,,,,,,,,,
İngilizce Öğretmenliği,2022,62,1822,62,1,2,1,0.0,0.0,377.0,26.089965397923876,0.0,0.0,1.0,inf,0.0,0.0,-1.0,-50.0
İngilizce Öğretmenliği,2023,62,1376,62,1,3,3,0.0,0.0,-446.0,-24.47859495060373,0.0,0.0,0.0,0.0,1.0,50.0,2.0,200.0
İngilizce Öğretmenliği,2024,41,1980,41,1,3,3,-21.0,-33.87096774193549,604.0,43.89534883720929,-21.0,-33.87096774193549,0.0,0.0,0.0,0.0,0.0,0.0
İnşaat Mühendisliği,2021,134,1278,134,15,23,17,,,,,,,,,,,,
İnşaat Mühendisliği,2022,134,1858,134,19,21,16,0.0,0.0,580.0,45.38341158059469,0.0,0.0,4.0,26.66666666666666,-2.0,-8.695652173913048,-1.0,-5.882352941176472
İnşaat Mühendisliği,2023,134,1721,134,26,23,14,0.0,0.0,-137.0,-7.373519913885895,0.0,0.0,7.0,36.8421052631579,2.0,9.523809523809534,-2.0,-12.5
İnşaat Mühendisliği,2024,82,1880,82,26,23,14,-52.0,-38.80597014925373,159.0,9.238814642649618,-52.0,-38.80597014925373,0.0,0.0,0.0,0.0,0.0,0.0
İnşaat Mühendisliği (İngilizce),2021,62,933,62,15,23,17,,,,,,,,,,,,
İnşaat Mühendisliği (İngilizce),2022,62,1414,62,19,21,16,0.0,0.0,481.0,51.554126473740624,0.0,0.0,4.0,26.66666666666666,-2.0,-8.695652173913048,-1.0,-5.882352941176472
İnşaat Mühendisliği (İngilizce),2023,62,1306,62,26,23,14,0.0,0.0,-108.0,-7.637906647807635,0.0,0.0,7.0,36.8421052631579,2.0,9.523809523809534,-2.0,-12.5
İnşaat Mühendisliği (İngilizce),2024,41,1278,41,26,23,14,-21.0,-33.87096774193549,-28.0,-2.143950995405819,-21.0,-33.87096774193549,0.0,0.0,0.0,0.0,0.0,0.0
İstatistik,2021,82,1335,82,5,7,3,,,,,,,,,,,,
İstatistik,2022,82,2079,82,5,5,4,0.0,0.0,744.0,55.730337078651694,0.0,0.0,0.0,0.0,-2.0,-28.57142857142857,1.0,33.33333333333333
İstatistik,2023,84,2320,83,5,4,6,2.0,2.4390243902439046,241.0,11.592111592111598,1.0,1.2195121951219523,0.0,0.0,-1.0,-19.999999999999996,2.0,50.0
İstatistik,2024,88,1577,88,5,4,6,4.0,4.761904761904767,-743.0,-32.025862068965516,5.0,6.024096385542177,0.0,0.0,0.0,0.0,0.0,0.0
İşletme,2021,93,1915,93,12,12,11,,,,,,,,,,,,
İşletme,2022,93,2545,93,15,12,8,0.0,0.0,630.0,32.8981723237598,0.0,0.0,3.0,25.0,0.0,0.0,-3.0,-27.27272727272727
