department_name,year,quota,preferred,placed_students,professors,phd,assoc_prof,Quota Change,Quota Change (%),Preferred Change,Preferred Change (%),Placed_students Change,Placed_students Change (%),Professors Change,Professors Change (%),Phd Change,Phd Change (%),Assoc_prof Change,Assoc_prof Change (%)
İşletme,2023,96,1964,96,19,13,6,3.0,3.2258064516129004,-581.0,-22.829076620825152,3.0,3.2258064516129004,4.0,26.66666666666666,1.0,8.333333333333325,-2.0,-25.0
İşletme,2024,103,2903,103,19,13,6,7.0,7.291666666666674,939.0,47.81059063136457,7.0,7.291666666666674,0.0,0.0,0.0,0.0,0.0,0.0
İşletme (İngilizce),2021,52,1836,52,12,12,11,,,,,,,,,,,,
İşletme (İngilizce),2022,52,2175,52,15,12,8,0.0,0.0,339.0,18.4640522875817,0.0,0.0,3.0,25.0,0.0,0.0,-3.0,-27.27272727272727
İşletme (İngilizce),2023,54,1944,52,19,13,6,2.0,3.8461538461538547,-231.0,-10.620689655172411,0.0,0.0,4.0,26.66666666666666,1.0,8.333333333333325,-2.0,-25.0
İşletme (İngilizce),2024,62,2547,62,19,13,6,8.0,14.814814814814813,603.0,31.018518518518512,10.0,19.23076923076923,0.0,0.0,0.0,0.0,0.0,0.0
Şehir ve Bölge Planlama,2021,82,688,82,7,8,12,,,,,,,,,,,,
Şehir ve Bölge Planlama,2022,82,1372,82,7,9,12,0.0,0.0,684.0,99.4186046511628,0.0,0.0,0.0,0.0,1.0,12.5,0.0,0.0
Şehir ve Bölge Planlama,2023,84,1302,82,7,8,9,2.0,2.4390243902439046,-70.0,-5.102040816326525,0.0,0.0,0.0,0.0,-1.0,-11.111111111111116,-3.0,-25.0
Şehir ve Bölge Planlama,2024,52,1279,52,7,8,9,-32.0,-38.095238095238095,-23.0,-1.766513056835639,-30.0,-36.58536585365854,0.0,0.0,0.0,0.0,0.0,0.0
